img_id,status,cx,cy,r_inner,r_outer
114302,success,286,315,140,274
114481,success,174,196,90,164
114551,success,84,192,70,145
114578,success,164,200,61,137
114579,success,336,220,56,121
114584,success,154,220,97,132
114585,success,164,216,99,124
114586,success,285,298,73,133
114587,success,186,228,99,125
114598,success,491,514,188,300
114615,success,160,162,86,151
114618,success,157,158,83,149
114619,success,146,169,77,144
114702,success,160,81,25,83
114719,success,146,164,78,126
114746,success,113,104,46,103
114758,success,126,121,56,76
114769,success,134,113,54,76
114770,success,160,130,36,82
114771,success,110,92,54,71
114778,success,120,104,43,97
114784,success,128,108,48,97
114916,success,160,186,86,121
114917,success,166,50,63,112
114919,success,159,158,89,154
11499,success,122,122,57,79
11501,success,170,174,73,149
11502,success,166,155,81,154
115104,success,141,158,78,128
115135,success,170,201,81,118
115144,success,134,139,63,125
115327,success,195,202,101,167
115630,success,96,250,78,250
115714,success,242,246,87,210
115715,success,248,215,121,205
115716,success,419,145,67,178
11574,success,173,140,80,125
115891,success,121,365,117,327
115894,success,386,370,149,249
115895,success,362,384,166,212
115902,success,188,214,92,158
115903,success,157,200,82,121
115951,success,64,66,26,56
115961,success,52,104,50,117
116055,success,170,414,110,367
116056,success,166,174,92,123
116071,success,78,96,30,87
116072,success,83,76,34,66
116086,success,78,94,45,85
116105,success,296,254,122,184
116146,success,92,259,90,237
116152,success,85,264,67,246
116156,success,270,272,140,221
116160,success,185,250,113,162
116161,success,154,68,110,145
116167,success,72,112,58,127
116477,success,494,504,203,266
116479,success,158,133,62,82
116480,success,127,128,47,96
116481,success,495,477,179,282
116484,success,137,118,65,82
116489,success,137,128,63,83
116701,success,108,82,42,91
116703,success,156,118,43,89
116704,success,475,504,193,255
116706,success,620,145,145,266
116707,success,84,126,32,81
116717,success,146,132,59,84
116720,success,430,454,222,287
116722,success,640,110,170,284
11677,success,274,64,55,124
116770,success,134,119,58,98
116771,success,121,122,59,84
116773,success,220,236,100,136
116820,success,96,124,53,106
116855,success,112,145,65,111
116877,success,132,165,63,120
116878,success,128,158,66,100
116879,success,148,168,74,138
116881,success,124,158,66,123
116926,success,164,156,80,100
116940,success,67,190,167,226
116992,success,316,356,139,207
116998,success,111,502,81,205
117009,success,109,84,82,277
117010,success,588,350,98,288
117011,success,84,102,96,288
117130,success,120,128,65,145
117194,success,180,182,76,103
117207,success,160,120,71,108
11727,success,218,213,113,162
117322,success,95,124,58,95
117330,success,46,74,55,134
11735,success,74,88,37,76
117637,success,76,114,31,87
117813,success,113,112,48,89
117817,success,122,116,56,107
117822,success,102,90,32,96
117825,success,484,428,191,260
117828,success,88,86,43,65
117880,success,104,106,53,86
117975,success,588,386,122,264
117976,success,470,389,155,306
117978,success,617,98,81,289
117979,success,114,106,50,90
117980,success,130,117,36,80
117985,success,624,398,111,227
117986,success,448,458,168,239
117989,success,103,90,44,80
117990,success,102,104,20,82
117991,success,86,90,41,73
117994,success,436,192,168,422
118006,success,458,104,100,264
118172,success,153,122,63,81
118173,success,138,118,56,96
118174,success,113,56,30,112
118176,success,78,116,33,85
118177,success,124,114,32,100
118178,success,129,130,67,118
118269,success,154,495,127,442
118270,success,474,100,104,277
118272,success,91,730,96,337
118274,success,82,108,34,105
118378,success,89,135,57,84
118379,success,152,94,32,95
118409,success,166,130,27,92
118417,success,144,125,59,81
118419,success,171,145,45,80
118421,success,156,122,46,79
118423,success,112,128,61,97
11845,success,106,71,43,75
118544,success,98,79,46,116
118547,success,246,90,57,110
118560,success,227,258,57,126
118567,success,194,216,72,187
118568,success,72,176,50,118
118570,success,249,258,74,116
118571,success,126,238,38,130
118580,success,74,138,26,84
118581,success,160,147,33,75
118585,success,393,238,58,166
118586,success,78,86,58,110
118588,success,164,178,68,166
118591,success,284,223,109,195
118596,success,368,106,84,232
118654,success,82,196,53,109
118655,success,318,104,85,125
118658,success,316,82,96,196
118659,success,258,81,56,121
118663,success,74,100,59,103
118670,success,70,82,30,48
118742,success,110,101,51,87
118744,success,105,102,50,100
118765,success,204,206,92,158
119144,success,238,192,54,113
119145,success,252,186,53,115
119148,success,246,167,37,112
119149,success,231,196,66,121
119152,success,296,208,69,106
119155,success,108,330,154,325
119198,success,76,130,29,83
119203,success,439,542,149,227
119235,success,372,355,148,231
119237,success,124,360,131,247
119238,success,234,177,48,116
119432,success,193,163,87,135
119752,success,78,254,52,171
119761,success,176,130,46,144
119854,success,182,404,145,409
120117,success,349,352,162,198
120165,success,111,109,51,93
120166,success,112,92,49,76
12026,success,186,75,51,106
12030,success,199,100,64,157
12031,success,194,222,70,110
12033,success,88,92,39,73
12034,success,108,85,40,60
12038,success,78,173,153,206
12042,success,191,158,48,136
120459,success,820,132,94,373
12046,success,286,216,58,142
12056,success,183,170,88,129
120570,success,772,84,104,309
120571,success,86,120,158,402
120572,success,104,100,92,393
120582,success,70,132,142,408
12061,success,268,164,63,147
120692,success,131,131,46,121
120706,success,73,159,38,103
120715,success,340,360,173,209
120743,success,336,374,170,211
120744,success,296,254,122,184
120747,success,296,254,122,184
120748,success,228,267,114,155
12080,success,276,86,49,119
12087,success,170,150,75,126
120893,success,224,151,34,106
120894,success,235,170,57,105
120895,success,166,176,65,150
120896,success,219,156,34,100
120898,success,235,130,36,109
120899,success,161,158,82,124
120900,success,252,136,45,116
120901,success,188,159,80,116
120902,success,174,172,54,144
120908,success,242,146,41,101
120909,success,164,160,71,148
120912,success,242,148,42,99
12092,success,68,143,46,140
12093,success,192,179,84,177
120975,success,108,100,46,67
12098,success,250,96,82,117
121044,success,188,158,83,111
121101,success,128,87,29,66
12128,success,261,194,66,150
12133,success,185,160,87,130
12139,success,196,194,99,144
121509,success,92,124,58,92
121537,success,198,162,66,158
121550,success,229,166,50,126
121575,success,70,72,27,58
121649,success,320,332,173,221
121652,success,354,392,157,234
121681,success,160,203,57,105
121682,success,174,189,95,128
121746,success,193,46,47,168
121747,success,110,141,61,99
121770,success,105,178,121,379
121771,success,85,103,66,116
121772,success,222,90,41,98
121773,success,138,16,93,319
121774,success,70,491,223,311
121775,success,63,140,56,118
121776,success,80,118,122,382
121777,success,118,120,118,404
121778,success,430,178,161,402
121812,success,152,190,75,99
121813,success,72,114,32,97
121817,success,148,204,36,159
121826,success,208,191,102,130
121902,success,122,361,77,142
121903,success,83,234,59,219
121904,success,110,104,76,175
121905,success,80,222,70,217
121906,success,108,102,72,141
121916,success,308,96,88,138
121918,success,140,352,154,312
121919,success,118,392,109,246
121920,success,115,334,102,206
121921,success,126,362,114,305
121923,success,109,108,114,218
121924,success,108,354,155,338
121946,success,128,87,29,66
121951,success,193,118,80,128
122074,success,125,129,48,99
122080,success,138,155,71,94
122085,success,141,180,71,107
12209,success,311,51,52,135
122236,success,236,275,116,153
122644,success,130,114,52,99
122651,success,146,118,58,78
122652,success,60,114,39,111
122699,success,212,180,90,159
122700,success,237,165,57,111
122746,success,338,430,179,227
122768,success,108,106,51,86
122783,success,102,106,53,91
122864,success,78,113,32,112
122909,success,154,130,59,86
122912,success,146,101,62,94
122957,success,196,164,32,89
123017,success,102,110,50,88
123023,success,196,220,106,165
123081,success,240,277,120,162
123082,success,260,224,109,157
123086,success,266,252,125,164
123087,success,252,292,118,156
123089,success,234,286,126,193
123244,success,82,102,43,97
123333,success,83,103,48,99
123608,success,161,129,63,122
123749,success,153,193,91,114
123919,success,212,256,110,249
124086,success,58,67,43,70
124089,success,77,100,47,76
124099,success,126,72,29,124
124100,success,270,48,58,136
124101,success,120,126,70,105
124102,success,114,160,41,91
124103,success,230,349,49,208
124104,success,254,326,61,164
124112,success,228,86,40,99
124133,success,113,96,52,100
124164,success,117,116,48,109
124207,success,111,102,48,99
124211,success,100,97,48,88
124219,success,108,104,25,84
124220,success,111,94,31,102
124276,success,110,179,61,122
12431,success,94,114,48,84
124353,success,122,109,102,339
124386,success,138,157,132,163
124387,success,82,273,74,237
124388,success,292,330,145,199
124535,success,886,44,133,458
124645,success,170,84,50,81
124646,success,183,76,54,86
124653,success,464,528,224,271
124660,success,244,81,35,114
125017,success,121,148,62,149
125020,success,240,166,42,123
125097,success,143,130,23,84
12514,success,273,52,46,115
12515,success,276,93,46,116
12522,success,96,117,111,148
125266,success,318,336,163,226
125267,success,340,314,173,223
125268,success,324,390,144,222
125270,success,66,322,164,341
125271,success,108,309,102,305
125292,success,147,96,40,87
12540,success,233,125,36,122
12541,success,296,206,59,127
12542,success,72,197,40,122
12547,success,270,242,50,113
12548,success,106,57,52,109
12549,success,92,202,46,131
125510,success,194,164,72,124
125511,success,133,106,38,100
125513,success,297,106,50,126
125515,success,289,122,46,130
12556,success,69,180,38,150
12557,success,222,210,91,127
125599,success,258,94,42,154
125798,success,90,90,46,75
12581,success,88,206,51,188
125813,success,160,59,63,151
125890,success,182,154,47,78
125896,success,356,384,142,205
125898,success,98,342,73,334
125899,success,164,114,62,87
125918,success,84,152,54,96
125919,success,85,108,30,127
125948,success,96,102,39,88
125956,success,110,200,75,142
125967,success,91,106,53,67
126045,success,291,207,90,125
12626,success,354,348,41,189
126283,success,260,265,134,238
12631,success,93,101,52,92
126320,success,142,239,51,100
126380,success,130,119,66,137
126446,success,120,71,20,77
126447,success,126,109,35,59
126448,success,132,96,29,67
126449,success,88,93,44,79
126450,success,130,73,21,66
126574,success,816,134,109,368
126575,success,782,94,92,334
126576,success,784,128,94,364
126918,success,379,391,176,225
126919,success,412,382,157,213
126996,success,108,97,25,80
127049,success,227,263,98,171
127310,success,152,128,64,110
127341,success,297,119,45,105
127364,success,72,93,49,149
127366,success,38,394,141,238
127378,success,236,221,111,140
127391,success,74,86,29,75
127408,success,68,70,22,76
12746,success,280,72,38,112
12747,success,270,90,41,109
127625,success,352,119,39,138
127626,success,328,188,43,118
127627,success,341,140,72,152
127628,success,302,230,50,152
127629,success,342,209,46,149
127630,success,130,386,80,162
127631,success,53,207,67,154
127632,success,156,390,92,186
127720,success,336,210,65,138
127721,success,337,134,62,150
127731,success,200,189,41,182
127790,success,309,90,74,121
128055,success,195,222,118,157
128169,success,106,230,76,116
128170,success,97,102,44,113
128207,success,240,140,61,115
128293,success,225,143,72,108
128294,success,80,120,107,268
128296,success,100,60,79,350
128475,success,152,158,77,136
128476,success,177,178,75,138
128478,success,82,214,66,181
128510,success,148,390,114,270
128859,success,192,186,96,194
128887,success,312,282,144,198
128888,success,303,358,135,230
128941,success,148,252,88,245
129242,success,374,445,179,284
129312,success,119,167,70,97
129346,success,218,128,32,125
129347,success,84,110,46,108
129354,success,174,126,65,83
129405,success,174,220,92,134
129431,success,105,148,67,96
129564,success,142,130,66,118
129578,success,517,114,94,232
129635,success,326,200,56,121
129645,success,179,204,82,138
129708,success,86,292,115,291
129727,success,209,186,77,148
129738,success,252,202,118,145
129739,success,242,194,78,138
129740,success,222,192,81,141
129742,success,217,200,96,125
129749,success,245,208,77,143
129774,success,76,106,28,92
129775,success,153,116,65,91
129776,success,128,102,31,77
129778,success,142,162,51,81
129810,success,427,548,229,422
129811,success,680,714,239,694
129865,success,294,314,148,208
129887,success,536,336,104,239
129894,success,282,415,175,240
129905,success,174,290,146,201
129934,success,460,240,96,185
129983,success,690,522,147,497
130013,success,548,457,247,449
130022,success,1330,710,258,622
13006,success,226,248,98,220
130063,success,948,919,253,432
130066,success,568,986,274,545
130069,success,508,956,188,547
130071,success,576,970,204,522
130075,success,942,930,253,382
130076,success,522,967,194,410
130078,success,891,953,273,432
130084,success,93,916,270,420
130092,success,112,178,219,765
130094,success,588,966,219,523
130128,success,907,1086,389,714
130137,success,838,709,427,670
130141,success,122,1076,314,466
130143,success,993,922,272,492
130146,success,164,1354,446,815
130148,success,534,604,266,344
130149,success,560,561,248,346
130150,success,147,120,407,805
130187,success,292,1164,205,494
130212,success,526,502,249,328
130227,success,218,190,82,167
130258,success,91,99,40,66
130306,success,244,155,65,130
13035,success,64,104,41,72
130385,success,120,140,124,205
130447,success,291,106,46,129
130449,success,313,126,59,141
130452,success,300,110,72,132
13054,success,238,246,120,149
130570,success,542,298,80,244
130604,success,198,214,105,129
130606,success,209,202,106,193
130613,success,171,95,55,96
130658,success,140,160,56,137
130662,success,147,96,52,88
130664,success,173,170,86,144
130736,success,156,143,87,109
130745,success,375,494,215,320
130783,success,95,138,68,123
130784,success,126,146,69,90
130801,success,916,426,249,305
130860,success,384,116,70,146
130861,success,393,80,65,148
130863,success,389,49,56,151
130893,success,242,96,62,126
130910,success,68,163,25,81
130914,success,93,78,85,157
130916,success,244,78,54,231
130921,success,397,132,68,152
130926,success,402,68,52,176
130928,success,756,715,349,427
130934,success,246,78,33,99
130941,success,238,240,114,196
130943,success,84,268,70,170
130972,success,70,56,43,76
131033,success,190,210,100,185
131139,success,214,179,55,103
131208,success,150,150,75,130
131343,success,186,177,71,156
131386,success,130,57,64,145
131394,success,86,238,62,183
131397,success,83,238,56,187
131447,success,66,164,43,162
131453,success,87,117,34,88
131465,success,182,187,93,164
131472,success,84,222,63,205
131473,success,232,241,123,154
131474,success,165,154,70,141
131478,success,262,186,62,118
13149,success,302,172,49,117
131518,success,181,196,84,118
131526,success,130,341,89,252
131529,success,167,194,101,140
131571,success,107,92,49,71
131615,success,147,172,77,130
131807,success,520,302,111,235
132058,success,72,124,32,89
132076,success,92,64,26,82
132187,success,166,146,78,140
132201,success,112,96,39,97
132207,success,130,180,84,128
132266,success,188,204,96,184
132275,success,122,266,64,140
132285,success,102,98,51,116
132291,success,162,242,38,103
132292,success,123,270,70,153
132294,success,78,130,73,106
132297,success,124,240,46,96
132364,success,238,248,122,156
132378,success,108,254,81,241
13240,success,164,187,89,130
132408,success,234,273,117,191
132409,success,122,252,92,246
132410,success,86,81,38,83
13245,success,128,62,35,96
132464,success,155,162,83,143
132522,success,77,138,51,118
132547,success,164,94,29,89
132558,success,220,232,49,102
132561,success,251,228,60,116
132592,success,65,72,17,59
132594,success,91,33,24,43
132595,success,62,78,28,46
132599,success,64,70,34,55
132660,success,328,121,82,137
132664,success,356,109,77,116
132668,success,104,339,56,195
132672,success,120,352,59,194
132735,success,245,301,141,197
132736,success,86,270,65,255
132799,success,55,72,17,61
132801,success,66,71,37,47
132803,success,76,70,31,63
132819,success,70,69,17,58
132836,success,114,107,50,109
132861,success,280,301,150,183
132956,success,102,112,29,93
132958,success,91,118,51,88
132971,success,70,184,42,146
133022,success,242,205,89,187
133073,success,398,224,62,201
133074,success,96,192,56,166
133096,success,48,230,66,135
133104,success,112,246,64,108
133134,success,268,180,80,128
133302,success,220,216,84,138
133307,success,171,190,101,156
133308,success,246,230,106,134
133388,success,191,200,84,119
133390,success,86,166,55,124
133391,success,81,192,56,122
133444,success,250,180,48,122
133548,success,79,64,24,65
133599,success,261,176,39,109
133639,success,247,278,125,195
133713,success,238,156,42,116
133729,success,210,130,38,107
133757,success,62,64,28,58
13378,success,293,97,44,139
13379,success,341,75,60,136
133808,success,184,190,68,172
133809,success,68,176,37,112
13402,success,174,190,94,140
134063,success,130,115,46,96
134077,success,95,90,36,88
134100,success,556,134,147,211
134114,success,72,296,144,177
134120,success,256,168,45,116
134142,success,88,326,76,278
134183,success,282,108,63,142
134396,success,192,92,25,109
134421,success,186,228,54,214
134445,success,144,158,55,128
13446,success,119,140,58,105
134469,success,74,80,31,61
13447,success,133,132,61,86
134499,success,366,231,44,142
13452,success,240,254,112,186
134593,success,78,98,32,97
134601,success,115,83,52,80
134602,success,122,104,52,71
134788,success,158,70,41,81
134851,success,207,170,36,104
134874,success,646,615,102,304
134890,success,97,86,29,103
134909,success,116,116,60,97
134912,success,109,118,59,83
134915,success,190,175,88,160
135035,success,316,328,150,210
135046,success,100,203,70,124
135049,success,61,224,106,175
135089,success,124,112,61,100
135147,success,100,121,57,89
135212,success,257,206,114,145
135213,success,270,331,112,195
135241,success,144,318,105,204
135284,success,146,112,39,113
135286,success,73,171,58,121
135294,success,175,184,82,109
1353,success,70,84,41,77
135302,success,193,206,83,111
135304,success,186,171,80,112
135305,success,187,181,70,108
135306,success,188,175,85,160
135315,success,180,186,78,106
135367,success,70,72,20,57
135383,success,149,186,66,121
135409,success,110,120,40,87
135542,success,172,101,34,81
135582,success,544,348,104,282
135585,success,208,320,102,261
135594,success,558,366,86,297
135637,success,191,196,111,148
135643,success,189,220,103,160
135676,success,142,107,40,87
135702,success,554,602,225,334
135776,success,96,100,66,136
135786,success,153,60,34,149
135787,success,196,130,29,99
135795,success,210,322,96,204
135823,success,849,536,133,392
135859,success,180,234,89,136
135881,success,216,222,114,163
135884,success,124,146,49,122
135899,success,135,135,68,118
135911,success,137,148,68,122
135917,success,112,110,28,91
135919,success,186,112,29,94
135920,success,132,121,63,112
135921,success,150,116,53,91
135926,success,137,104,65,107
135927,success,152,115,66,98
136008,success,76,78,56,84
136012,success,74,72,25,64
136031,success,125,74,29,83
136085,success,98,125,52,96
136117,success,305,312,145,199
136118,success,96,328,61,288
136124,success,297,314,143,185
136127,success,86,327,109,287
136192,success,172,168,92,149
136223,success,126,148,68,113
136371,success,189,234,96,184
136388,success,174,44,33,118
