img_id,representative_img_id,pg_id,blood,blood_id,blood_name,member_count
109646,109646,,詹森白羽号*詹森小火箭,2004-853260|2005-103168|2005-105408|2005-109144|2010-259000|2011-139999|2012-08-005601|2012-333000|2014-08-126888|B00-6317318|B02-6477285|B03-6483072,詹森白羽号*詹森小火箭,1
109952,109952,,,BLG80-3250688|BLG89-3119013|BLG91-3204036|BLG93-3050055|BLG96-9148085|BLG97-3157289|BLG98-3158360,,1
111357,111357,,,B00-3138317|B07-3008849|B2010-3083659|B92-3000607|B95-2418324|B98-3100356|D07883-02-1879,,1
111730,111730,,詹森红魔王x漂亮石板,B87-6337115|B89-6150221|B91-6227427|B93-6440306|B95-6274312|B96-6376197,詹森红魔王x漂亮石板,1
111857,111857,,,1992-1222511|1995-1965749|1999-2291096|2001-1822710,,1
111886,111886,,,2009-06-055380|BLG2000-2117109,,1
111887,111887,,,2009-06-055001|2010-06-255558|BLG2000-2117109,,1
111890,111890,,詹森,B96-6598538|N00-2327117|N00-2327138|N01-2217701|N06-1338079|N94-1861249|N97-1908700|N98-1584588|N99-1254950|N99-1255076,詹森,1
112697,112697,,德国RV亚军*荷兰NPO冠军,8071-98-630|D08071-02-52|D08071-03-129|D08071-09-298|D08071-10-435|D1073-99-75|N04-2019866|N05-1511645|N05-2207884|N05-5534870|N06-2082999|N08-1548706|N10-1660231|N13-1212130,德国RV亚军*荷兰NPO冠军,1
112792,112792,,,B02-4432376|B03-4196224|B04-4295602|B2010-3083746|B97-3310983|B99-2394976|B99-4500907,,1
112881,112881,,,N00-1970007|N03-1076538,,1
112995,112995,,,B02-6270286|B09-6238564,,1
113148,113148,,,B1992-2526725|B1999-2416665|D01149-03-0348,,1
113440,113440,,,B2006-3148444|D07364-08-249,,1
113441,113441,,,06-01-600010|09-01-003019|2010-22-996263|B2006-3148444|N00-1017041,,1
113454,113454,,,1999-50-394619|2000-09-221806|2001-09-023730|2004-09-008573|2008-09-366888|2009-09-417332,,1
113538,113538,,,2011-069306|2012-368088|D2011-0308397,,1
113598,113598,,,2009-23-116993|2015-22-0632673,,1
114702,114702,,,10-01-337736|10-01-608167|10-01-804891|11-01-004100|11-01-610183|11-01-638110|11-01-643947|11-01-649454|11-01-681118|11-01-803303,,1
116167,116167,,,B00-6156070|B01-6255051|B01-6255263|B02-6091493|B02-6091494|B03-6266353|B1982-6380170|B1994-6214394|B1996-3121904|B1996-6615170|B2004-6276565|B83-6376406|B83-6376407|B85-6163028|B85-6163029|B85-6723560|B86-6271104|B87-6697608|B88-6318700|B90-6277376|B90-6277377|B90-6277397|B90-6277606|B90-6669134|B91-6398026|B92-6074311|B92-6074328|B92-6074410|B92-6074426|B92-6673402|B93-6080649|B93-6228508|B93-6228515|B93-6228670|B95-6230607|B95-6230638|B98-6210287|B98-6210288|B99-6143594|B99-6143595|B99-6143668|B99-6143733,,1
118409,118409,,电脑戈马力,B03-2191258|B09-2054494,电脑戈马力,1
118417,118417,,年轻巴龙,B02-2214210|B02-2214269,年轻巴龙,1
118419,118419,,白翼巴龙,B02-2214210|B07-2055097,白翼巴龙,1
118421,118421,,白翼巴龙,B02-2214210|B07-2055097,白翼巴龙,1
118423,118423,,,B02-2214210|B02-2214269,,1
118670,118670,,凡龙詹森,N01-1371427|N01-5162009|N05-1210555|N83-1450221|N86-8643270|N92-1516130|N95-1392071|N96-2657786|N99-1863473,凡龙詹森,1
121575,121575,,佛卡门,B00-6249033|B00-6249328|B01-6387174|B04-6058148|B2001-6387159|B2002-6058048,佛卡门,1
122768,122768,,速霸龙,8857-10-226|B00-4065848|D08857-07-19,速霸龙,1
122783,122783,,,B01-3076129|B01-5241982|B02-3026083|B04-3099026|B96-3199724|B97-3221726|B99-3020097,,1
123333,123333,,,2015-08-0427173|B00-6317317|B2003-6483087|B89-6699714|B89-6727919|B91-6227401|B91-6227405|B94-6261212|B97-6592444|N00-2327117|N00-2327138|N01-2217701|N97-1908700|N99-1254950|N99-1255076,,1
125097,125097,,詹森019系,2009-23-116993|2009-429941,詹森019系,1
125266,125266,,,B1993-6059425|B1998-6561981|B89-6525001,,1
125267,125267,,,B1993-6059425|B1998-6561981|B89-6525001,,1
125268,125268,,,B1993-6059425|B1998-6561981|B89-6525001,,1
125270,125270,,,B1993-6059425|B1998-6561981|B89-6525001,,1
125271,125271,,,B1993-6059425|B1998-6561981|B89-6525001,,1
125956,125956,,,B01-4174049|B05-4045080|B05-4400566|B07-4085218|B91-4261261|B95-4192444|N2009-1232574,,1
126045,126045,,,2011-04-669037|B04-4277487|B06-4112210|B06-4380293|B91-4261261|B95-4192444,,1
129564,129564,,,N94-2673104,,1
129708,129708,,,B01-3172989|B98-3158062,,1
129983,129983,,,B11-6326571|B91-6038712|B93-6444393|B95-6558347|N00-0077729|N01-0132519|N01-0179465|N02-0230955|N02-0271840|N03-1272704|N03-1272732|N03-1272739|N91-9187749|N93-1125375|N94-9410349|N94-9410369|N97-9779784|N97-9779802,,1
130013,130013,,,B00-6460908|B01-2204067|B01-6455003|B95-6246005|B96-6286060|N00-4278193|N98-5821416|N98-5821470|N99-5971341,,1
130212,130212,,,B01-2137037|B02-2214260|B02-2214264|B94-2061052|B94-2061286|B99-6214976|D01-08978-2157|D03-02065-476|D03-08978-1110|D07-08978-91|D09-02065-407|D93-08978-277|D96-08978-1245|N94-1717101|N98-9885015,,1
130658,130658,,,2006-22-990300|22-2003-1188918|22-2004-512070|22-2005-539445|22-2005-539447|22-2006-990040|22-2006-990062|22-2006-990376|22-2008-258456|22-2008-258476|22-2011-1209752|22-2011-1390871|22-2011-1390883|22-2011-1390903|22-2011-1882713,,1
130664,130664,,,2003-22-1227937|22-2004-013039|22-2004-521634|22-2006-990037|22-2006-990344|22-2008-258423|22-2008-258433|22-2011-1390816|22-2011-1390870|22-2011-1390908|22-2011-1390937,,1
130745,130745,,,B00-2117109|B00-2117363|B00-2352687|B01-2137019|B02-2214269|B02-2214285|D03-02065-413|N04-1114759|N89-1830953|N89-1831556|N91-2715750|N93-1392560|N94-1861269|N96-1084283,,1
130928,130928,,,B00-6243512|B02-2103323|B02-6106921|B03-6486881|B07-5100870|B89-5105971|B92-3138647|B92-5330292|B93-3010103|B96-2374381|B98-2154640|B99-2030006|B99-5273473|B99-6422553,,1
131208,131208,,,BLG80-3250688|BLG89-3119013|BLG91-3204036|BLG93-3050055|BLG96-9148085|BLG97-3157289|BLG98-3158360,,1
13149,13149,,克拉克*凡龙*戈马利,2006-03-349983|2007-03-288808|2007-03-288830|2008-03-390097|2008-03-390098,克拉克*凡龙*戈马利,1
132547,132547,,,10-01-337736|10-01-608167|10-01-804891|11-01-004100|11-01-610183|11-01-638110|11-01-643947|11-01-649454|11-01-681118|11-01-803303,,1
132592,132592,,,B87-6488840|B90-6661229|B93-6234444|B96-6598538|N00-2327117|N00-2327138|N01-2217701|N02-1949785|N03-1911662|N03-1911663|N04-1560084|N06-1763723|N83-1450221|N86-8643270|N94-1867295|N95-1392071|N97-1908700|N97-2544865|N99-1254950|N99-1255076|N99-1863473,,1
132594,132594,,凡龙詹森,B93-6234444|N03-1911662|N03-1911663|N04-1560084|N06-1763723|N99-1863473,凡龙詹森,1
132595,132595,,,2011-676698|N02-1949785|N03-1911662|N03-1911663|N04-1114891|N04-1560084|N2006-1763723,,1
132599,132599,,凡龙詹森,B01-4174049|B03-4316077|B03-4449435|B06-4381760|B96-4391970|B99-4500907|N02-1559724|N97-2555496,凡龙詹森,1
132799,132799,,,N03-1911662|N03-1911663|N04-1560084,,1
132801,132801,,,N00-1523838|N03-1912064|N04-1560565|N06-1763388|N06-1765840|N10-1271362,,1
132803,132803,,,B87-6488840|B90-6661229|B93-6234444|N03-1911662|N03-1911663|N04-1560084|N06-1763723|N83-1450221|N86-8643270|N95-1392071|N97-2544865|N99-1863473,,1
132819,132819,,宝马优德,N01-0143184|N01-0143185|N04-2211129|N04-2211188|N05-0534544|N05-0534554|N09-1332498,宝马优德,1
133073,133073,,,01-09-000855|02-09-221338|2011-09-313639|2013-351333|2013-351336|B01-6135202|B01-6135211,,1
134100,134100,,,2008-08-033998|2010-03-066838|2010-066838|2011-08-090662|2016-01-0561996,,1
134499,134499,,,B03-2198302|B94-2064044|B97-2079174|B99-2038985,,1
134851,134851,,,2011-22-1411738,,1
135212,135212,,,09-09-225026|11-09-169843|11-09-280725|11-09-394186|11-09-470792|11-09-470793|11-09-507423|12-09-362946|13-09-140632|13-09-178550|13-09-245096|13-09-431735|14-09-124407|14-09-211392|15-09-0243032|15-09-0243035|15-09-0243057|15-09-0243210,,1
135881,135881,,,11-09-169843|11-09-178550|11-09-394186|11-09-470792|11-09-470793|11-09-507423|12-09-362946|13-09-140632|13-09-431735|14-09-211392|15-09-0243035|15-09-0243057|15-09-0243210|N06-1016444|N07-1766811,,1
136192,136192,,,2008-06-315551|2010-06-255652,,1
137221,137221,,,N00-1499166|N00-1499270|N00-1499434|N01-1421120|N02-1657311|N03-1998665|N03-2325003|N05-4272664|N88-2854505|N91-1578560|N91-5568904|N92-5207756|N93-1082274|N93-5334442|N94-5568913|N94-5568940|N94-7012987|N95-1394761|N95-1401761|N95-5570815|N96-1744102|N96-1744111|N96-8014122|N98-2238030|N99-1874672|N99-1875046|N99-1875051|N99-2513400,,1
137246,137246,,国家一号*桑杰士,2009-03-109164|2011-842657|2012-975785|2012-975840|2012-975884|2013-602835|2013-602836|2013-602848|2013-804525|2013-805145|2015-1333148,国家一号*桑杰士,1
137287,137287,,,1999-50-394619|2002-09-162895|2009-09-432090,,1
137813,137813,,,B00-6000196|B01-6380137|B88-6240603|B89-6202092|B94-6323100|B99-6438135,,1
13797,13797,,,B03-4031497,,1
138645,138645,,,2004-5026225|B03-5071602|B03-5071609|D06-03236-620|D99-03236-714|N05-1908877,,1
139081,139081,,,12-09-340621|12-09-362948|12-10-537442|13-09-218725|14-09-401837|15-09-0305187|16-09-0419133|16-09-0419156|17-09-0201274|17-09-0458174|2017-09-0458173|2018-09-0302624,,1
139084,139084,,,11-09-102287|11-09-184765|11-09-470774|11-09-470789|12-09-176592|12-09-176593|12-09-178718|12-09-329215|12-09-329237|12-09-451108|13-09-431731|13-09-431732|14-09-211387|14-09-216802|14-09-405656|15-09-0243035|15-09-0243057,,1
139265,139265,,,2007-06-015618|2008-06-315556|2011-06-266699,,1
139535,139535,,桑杰士,10-01-501447|2010-01-473236|2011-01-490787|2011-05-344606|2011-15-216284|2011-490559|2012-18-045724,桑杰士,1
140026,140026,,,2013-03-567799,,1
140034,140034,,,2013-03-567799,,1
140045,140045,,,2009-03-428861|2009-03-490448|2010-03-575560|2010-03-576986|2010-03-576989|2010-03-576993|2011-03-718313|2012-03-928087|2012-03-928613|2012-03-928614|2012-03-928654|2013-03-567702,,1
140048,140048,,,2008-03-181848|2009-03-428861|2009-03-490448|2010-03-575560|2010-03-576986|2010-03-576989|2010-03-576993|2011-03-718313|2012-03-928087|2012-03-928613|2012-03-928614|2012-03-928654|2013-03-567702,,1
140753,140753,,,2006-22-990300|22-2003-1188918|22-2004-512070|22-2005-539445|22-2005-539447|22-2006-990040|22-2006-990062|22-2006-990376|22-2008-258456|22-2008-258476|22-2011-1209752|22-2011-1390871|22-2011-1390883|22-2011-1390903|22-2011-1882713,,1
140782,140782,,,2006-22-990300|22-2003-1188918|22-2004-512070|22-2005-539445|22-2005-539447|22-2006-990040|22-2006-990062|22-2006-990376|22-2008-258456|22-2008-258476|22-2011-1209752|22-2011-1390871|22-2011-1390883|22-2011-1390903|22-2011-1882713,,1
140787,140787,,,B00-5041900|B92-3000607|B92-5000631|D07883-01-1018|D07883-01-1019|D07883-07-2401,,1
140798,140798,,,2009-03-428861|2009-03-490448|2010-03-575560|2010-03-576986|2010-03-576989|2010-03-576993|2011-03-718313|2012-03-928087|2012-03-928613|2012-03-928614|2012-03-928654|2013-03-567702|2013-03-567799,,1
14226,14226,,,B00-2117064|B00-2117109,,1
143503,143503,,,B00-6178661|B01-6135353,,1
143507,143507,,,B01-6135354|B02-6175915|B97-6162118|B97-6162340|B99-5268081|B99-6381195|D05-0516-270,,1
144171,144171,,,B00-6178617|B01-6135235|B02-6175587|B93-6126917|B94-6336085|B98-6339604,,1
144177,144177,,,B00-6178544|B03-4290083|D0132-02-568,,1
144192,144192,,,03-03-338245|07-03-185012|07-03-185927|07-03-185928|N02-5218762,,1
144335,144335,,100%考夫曼,N99-5971307|N99-5971359,100%考夫曼,1
144535,144535,,,B03-6124088|B04-6044362|B08-6112321|B08-6112335|B09-6118243|B09-6118251,,1
145475,145475,,,05-01-124499|2003-03-338245|B89-5340010|B91-6541013|B92-5040391|B94-6323009|B96-6286104|B97-5204459,,1
145764,145764,,,2009-06-055552|B93-2132110|BLG2000-2117109|BLG2001-2137216,,1
145779,145779,,,2003-22-1227937|22-2004-013039|22-2004-521634|22-2006-990037|22-2006-990344|22-2008-258423|22-2008-258433|22-2011-1390816|22-2011-1390870|22-2011-1390908|22-2011-1390937|N09-5918425|N94-2423583,,1
145780,145780,,,2003-22-1227937|22-2004-013039|22-2004-521634|22-2006-990037|22-2006-990344|22-2008-258423|22-2008-258433|22-2011-1390816|22-2011-1390870|22-2011-1390908|22-2011-1390937|N03-1899380|N06-1751567,,1
145781,145781,,,2003-22-1227937|22-2004-013039|22-2004-521634|22-2006-990037|22-2006-990344|22-2008-258423|22-2008-258433|22-2011-1390816|22-2011-1390870|22-2011-1390908|22-2011-1390937|N07-1357593|N07-2146586,,1
145782,145782,,,2003-22-1227937|22-2004-013039|22-2004-521634|22-2006-990037|22-2006-990344|22-2008-258423|22-2008-258433|22-2011-1390816|22-2011-1390870|22-2011-1390908|22-2011-1390937|N01-1434741|N06-5632093,,1
145992,145992,,,05-09-001794,,1
146207,146207,,,04-10-300587|07-10-457748|08-10-683884|09-10-254371,,1
146209,146209,,,09-10-158314|09-10-254371|10-10-291753,,1
146214,146214,,,08-10-683884|10-10-330736,,1
146891,146891,,,2007-06-015618|BLG2000-2117109,,1
146894,146894,,,2007-06-015618|BLG2000-2117109,,1
14695,14695,,,07-06-204814|08-06-210938|08-06-210939|08-06-316991|09-06-061691|09-06-061692|09-06-062024,,1
148178,148178,,,N02-5218762,,1
148282,148282,,,B89-5340010|B92-5040391|B97-5204459|B98-5201624,,1
148485,148485,,,04-43166856|07-08659-632,,1
149693,149693,,,B78-7174327|B80-6796080|B82-6059903|B83-5324401|B85-5096102|B85-6580876|B89-5340010|B90-5328321|B90-5335977|B92-5040349|B97-5204432,,1
149746,149746,,克莱伯,B02-6172972|B03-6127109|B03-6127205|B03-6127268|B04-6399312|B08-6347795|B09-6353935|B92-6059123|B92-6676392|B93-6210739|B94-6327621|B97-6274298|B98-6273235|B98-6273614|B98-6274336,克莱伯,1
149833,149833,,年轻麦克斯,14-03-1030017|B70-6243259|B73-6736019|B81-6116647|B82-6131211|B85-6377502|B85-6379890|B87-6722452|B89-6722452,年轻麦克斯,1
150158,150158,,,B00-4317176|B03-4343129|B08-4130458|B2005-4391958|B90-4303495|B90-4349551|B93-4449137|B97-4182143|B97-4182175|B98-4538833|B99-4262210|N06-5621692|N07-4736431|N08-5821660|N09-1674145|N09-5916281,,1
150302,150302,,,B03-6199771|B03-6311130|B04-6399493|B04-6399998|B06-6173454|B96-6171840|B99-6150788,,1
150451,150451,,,B00-2352670|B01-6311681|B01-6315155|B08-6130867|B09-6216022|B09-6216179|B96-6388202|B98-2200316,,1
150618,150618,,,N04-2069612|N05-1412837,,1
150621,150621,,,N04-2069612|N05-1412837,,1
150623,150623,,,N04-2069612|N05-1412837,,1
150625,150625,,,N04-2069612|N05-1412837,,1
150634,150634,,,B07-4093333|B08-4095320,,1
150856,150856,,,2006-06-177743|BLG2005-5217050|BLG2005-6338438,,1
151265,151265,,,05-10-637609|B00-5249712|B78-7174327|B80-6796080|B82-6059903|B83-5324401|B85-5096102|B85-6580876|B89-5340010|B89-6611596|B89-6611641|B90-5328321|B90-5335977|B92-5040349|B97-5204432|B97-5204460|B98-6527257,,1
151276,151276,,,05-04-466194|B00-5150436|B00-5249712|B78-7174327|B80-6796080|B82-6059903|B83-5324401|B85-5096102|B85-6580876|B89-5340010|B90-5328321|B90-5335977|B92-5040349|B92-5328229|B97-5204432|B97-5204460,,1
151603,151603,,凡龙,B87-6488840|B90-6661229|B93-6234444|N03-1911662|N03-1911663|N04-1560084|N06-1763723|N83-1450221|N86-8643270|N93-2652867|N94-1380745|N95-1392071|N97-2544865|N99-1863473,凡龙,1
152133,152133,,,D08106-08-16|D08106-08-17,,1
152136,152136,,,D08106-08-16|D08106-08-17,,1
152138,152138,,,N04-2069612|N06-1091852,,1
152559,152559,,奶酪铭鸽灰劳瑞尔019号,B03-6257098|B03-6257209|B03-6257231|B07-6033110|B07-6242318|B08-6177698|B08-6369093|B09-6111515|B10-6163823|B11-6119144|B13-6313786|B92-6235626|B96-6404318|B98-6335690|BLG1995-6372272|BLG1998-6427986|BLG1999-6352928|BLG2000-6480508|BLG2002-6183152|BLG2004-6307210|BLG2008-6383019|BLG2015-2294984,奶酪铭鸽灰劳瑞尔019号,1
153402,153402,,,B01-6255051|B03-6266235|B2007-6076644,,1
153511,153511,,,12-12-190683,,1
153713,153713,,,2000-142457|2009-09-002953|2011-19-197630|B06-6307566|B1981-6600376|B1984-6698864|B1993-3050019|B1993-6501202|B1998-6391496|B1999-6340994|B2000-3279002|B2004-6315208|B2006-6109512|B94-6633774|B95-6471492|N10-1173488,,1
154356,154356,,,B01-2196158|B01-2197104|B01-2197724|B02-2197329|B03-2227460|B04-2201958|B05-2102926|B05-2103818|B07-2089331|B10-2153188|B90-6349650|B95-2080125|B96-2265236|B96-2265248|B97-2406637|B99-2021538,,1
154469,154469,,詹森,B02-6477213|B85-6377511|B87-6337179|B87-6337256|B91-6680417|B94-6261205|B94-6261231,詹森,1
154841,154841,,,B01-6255428|B03-6266516|B2005-6166368,,1
155764,155764,,公主号*阿德里安*公牛号*奇迹32,B89-6727919|B91-6227401|B91-6227405|B97-6592444,公主号*阿德里安*公牛号*奇迹32,1
156416,156416,,,B00-6141004|B00-6460908|B01-2204067|B01-6455003|B93-6621023|B95-6246005|B96-6286060|B97-6566561|N00-4278193|N98-5821416|N98-5821470|N99-5971341,,1
156695,156695,,,2009-09-192805|2012-551611|B1986-3188420|B1990-3102266|B1992-6468610|B1995-6155178|B2000-3279003|B93-3050019|B98-6391496|B99-3199708|N2001-0130681,,1
157012,157012,,,2004-09-008573|2007-32-807352|2008-09-366888|2009-09-417332|2010-09-414162,,1
157964,157964,,,B09-2119275|B09-2231748,,1
158023,158023,,爱亚卡普凡龙,B87-6488840|B90-6661229|B93-6234444|B96-6598538|N00-2327117|N00-2327138|N01-2217701|N03-1911662|N03-1911663|N04-1114891|N04-1560084|N06-1763723|N83-1450221|N86-8643270|N95-1392071|N97-1908700|N97-2544865|N99-1254938|N99-1254950|N99-1255076|N99-1863473,爱亚卡普凡龙,1
158388,158388,,,2006-01-144146|2006-01-414800|2009-22-700578|2009-22-780774|2011-22-1857829|B2006-6210428,,1
158549,158549,,,N07-2007622|N11-1912369,,1
158557,158557,,,B00-6141430|B00-6440232|B01-6094302|B01-6096237|B01-6455003|B01-6455067|B01-6521676|B02-6218797|B03-6192564|B03-6192747|B03-6192776|B03-6192777|B03-6192822|B04-6073803|B04-6073916|B05-6045015|B05-6045166|B10-4281810|B10-5103145|B11-6091952|B95-6302321|B96-6165098|B98-6110722|B98-6160968|B98-6580802|D01274-07-394|D01274-08-412|D01274-08-420|D01274-09-575|D01274-09-593|D0205-06-468|D02114-08-3356|D02114-09-1018|D02114-09-1061|D02114-10-4364|D02114-10-4366|D05050-10-277|D05050-11-297|D07107-09-147|N07-1821757|N08-1543385|N08-15433852010|N09-1881514|N10-1688158,,1
158667,158667,,,B93-6234444|N01-5120138|N03-1911663|N03-1911888|N98-5845911|N99-1863473,,1
158979,158979,,,B00-6141430|B01-6094302|B01-6521676|B03-6192564|B04-6073916|B06-6148335|B96-6165098|B98-6580802,,1
159388,159388,,,08-22-036714|2006-01-144146|2006-01-414800|2009-22-780563|2009-22-783235|B2006-6210428,,1
159544,159544,,詹森老火箭同父异母回血,2010-08-259888|2010-08-259999|2012-08-330055|2012-08-352999|2015-08-0266666|99-08-004898|B73-6773040|B98-6589961|B99-6265204|B99-6265205|N82-1324845|N88-2275423|N95-2312278|N99-1209710,詹森老火箭同父异母回血,1
159545,159545,,詹森冬日男孩回血,2005-103168|2005-109144|2013-08-012345|B03-6485731|B89-6727919|B91-6227401|B92-6162747|B93-6440376|B97-6604269|B98-6589972|B99-6559748|BLG1997-6604269|BLG1998-6589972,詹森冬日男孩回血,1
160827,160827,,,2006-06-015479|2009-06-055552,,1
160831,160831,,,B03-6257098|B04-6307210|B2011-6331009,,1
160832,160832,,,2013-01-654041|2014-01-03379|2014-01-312758|2016-01-0561907|2016-01-0561908|2016-01-0561965|2016-01-0561966|2016-010-0561927|2017-01-1000347|B03-6257240|B06-6034734|B2011-6331021,,1
160833,160833,,,2013-01-088853|2013-01-088854|2013-01-201221|B03-6257098|B1998-6335690|B2000-6480532|B2008-6364027|B2009-6111515|B2011-6119068|B2011-6331068|B98-6335690,,1
162012,162012,,蓝色火箭,N95-1784681|N99-1232862,蓝色火箭,1
162479,162479,,,B01-4094676|B12-3041931|B2001-4094627|B2002-4064520|B2005-4391925|B91-4447108|B93-4655123|B96-4275970|B99-4262213|B99-4262223,,1
163386,163386,,,2000-09-221806|2001-09-023730|2004-09-008573|2004-09-019503|2005-09-023497,,1
163401,163401,,,B01-6387174|B01-6387350|B02-00825433|B06-6411619|B09-6248231|B10-6052442|B11-6282521,,1
163758,163758,,,2006-22-990300|22-2003-1188918|22-2004-512070|22-2005-539445|22-2005-539447|22-2006-990040|22-2006-990062|22-2006-990376|22-2008-258456|22-2008-258476|22-2011-1390871|22-2011-1390883|22-2011-1390903|22-2011-1882713,,1
163795,163795,,,B01-6387174|B02-6825443|B07-6221477|B09-6248263|B09-6248530|B10-6052551|B11-6340893,,1
163796,163796,,,B01-6387174|B01-6387350|B02-00825433|B07-6221477|B09-6248530|B10-6052551|B11-6340825|B12-6196030,,1
164611,164611,,佛布利,B04-4433053|B04-6177653|B09-6201652|N07-1183483|N09-1375385|N10-1326742|N97-2524497|N97-2524534|N97-5774230,佛布利,1
165341,165341,,,2003-09-010474|2011-19-347881,,1
166020,166020,,,2003-09-010474|2011-19-347882,,1
166666,166666,,,2000-142457|2009-09-432100|B1986-3188420|B1990-3102266|B1992-6468610|B1995-6155178|B2000-3279002|B93-3050019|B98-6391496|B99-3199708,,1
167167,167167,,,B03-6226043|B04-6231730|B07-6110157|B08-6245283|B12-6225020|N02-1949785|N03-1911662|N03-1911663|N04-1560084|N06-1763723,,1
167339,167339,,,2008-537630|2010-575505|2010-575511|400-500-550|400-500-660,,1
167650,167650,,,2011-22-1715833,,1
167656,167656,,世界品牌国际和平号血统,2014-01-8253512014,世界品牌国际和平号血统,1
169715,169715,,,B03-4316043|B04-4019864|B04-4019957|B05-4130421|B05-4130439|B06-4044540|B10-2044213|B10-4302543|B2011-4191979|B96-4391970|B97-4263065,,1
170023,170023,,胡本家族,B02-6092673|B04-6457294|B05-6168668|B07-6077242|B08-6364618|B10-6037931|B99-6324626,胡本家族,1
170113,170113,,詹森麦克斯多重回血,05-08-110710|2005-08-117822|2007-08-033019|2010-259999|2011-08-139888|2012-08-330001|2013-08-013111|2015-08-0111996|B80-6825865|B85-6379891|B89-6699714|B91-6227405|B91-6680443|B97-6330086|N02-1088015|N03-1891069|N1998-9821081|N91-4167271|N96-2394338|N98-9821108|N99-1209710,詹森麦克斯多重回血,1
170185,170185,,詹森老火箭同父异母回血,2010-08-259888|2010-08-259999|2012-08-330055|2012-08-353000|2015-08-0111888|99-08-004898|B98-6589961|B99-6265204|B99-6265205|N95-2312278|N99-1209710,詹森老火箭同父异母回血,1
170186,170186,,葛斯顿·“奶酪小子”多重回血,2271-07-475|B09-6111508|B09-6111601|B10-6031765|B10-6031766|B10-6031800|B12-6023287|B14-6072210|B14-6072391|B14-6072427|B14-6072460|B15-6048784|BLG2017-6053408|BLG2017-6053433|D02271-15-1726,葛斯顿·“奶酪小子”多重回血,1
17028,17028,,,89-21361081994|B86-4850721|B92-2384985|B93-2314926|B98-2398449|B99-2017800|N92-5310320|N97-5701397|N99-5971312|N99-5971357|N99-5971359,,1
