img_id,literal_code,code_len
107327,F33962,1
107386,F18531,1
107404,F19298,1
107418,F19387,1
107467,F24749,1
107471,F39405,1
107572,F13160,1
107576,F13047,1
107584,F13073,1
10764,F33672|F35713,2
10765,F9816|F10421|F9484|F9550,4
107770,,0
107779,F13117,1
107786,F13116,1
108048,F9655|F10152|F9862|F9655|F10152,5
108058,F15098,1
108059,,0
108061,F39287,1
108067,F40098,1
108068,F40100,1
108069,,0
108073,F4523,1
108074,F8425,1
108075,,0
108076,,0
108078,,0
108084,,0
108092,F12968|F9308|F12970|F9483,4
108105,,0
108144,F7978,1
108218,F39434|F39597|F39610|F39458,4
108260,F15052,1
108261,F15053,1
108265,,0
108266,,0
108267,F10723|F12914|F10725|F10800,4
108268,,0
108270,,0
108271,,0
108273,,0
108274,,0
108275,,0
108319,F13418,1
108322,F13414,1
108330,F13415,1
108331,F13416,1
108332,F13419,1
108333,F13420,1
108334,F13366,1
108335,F13367,1
108341,F13368,1
108348,F13411,1
108353,F13412,1
108357,F15054,1
108490,F38694,1
108526,F2007,1
108636,F39349|F39367|F39391|F39458,4
108638,F8279|F39349|F39367|F39391|F39458,5
108646,F4382,1
108650,F2944,1
108653,F34482,1
108786,,0
108787,,0
108817,F32553,1
108818,F39395,1
108912,F35717,1
108984,F12710,1
108987,,0
108988,,0
108990,,0
108992,F1534|F9487|F5795|F2021|F5421,5
108993,F9777|F9617|F10067|F623,4
108994,,0
108996,,0
108997,,0
108998,,0
108999,,0
109001,,0
109003,F10897,1
109006,F5307,1
109010,F5788,1
109161,,0
109402,F39869,1
109511,,0
109514,,0
109515,,0
109586,F14326,1
109600,F3336,1
109638,F2305|F1150,2
109639,F31657,1
109640,F12631,1
109646,,0
109674,F37843,1
109797,F25026,1
109800,F25025,1
109805,F23351,1
109810,F33206,1
109816,F19383,1
109817,F19007,1
109819,F19009,1
109820,,0
109905,F8164,1
109927,F8322,1
109952,,0
109970,F8323,1
110016,F8001,1
110018,F8231,1
110019,F8221,1
110020,F8296,1
110021,F8180,1
110024,F40111,1
110027,F39897,1
110085,F37446,1
110114,,0
110116,,0
110117,,0
110118,,0
110137,F39923,1
110138,F39363|F39498|F39610|F39458,4
110154,F7868,1
110224,F9884|F9677|F10027|F7871,4
110480,F9482|F9627|F9704|F10046,4
110486,F9546|F9703|F9484|F10418,4
11064,F41898,1
110676,,0
110705,F3196,1
110706,F2794,1
110707,F2189,1
110848,,0
110849,F23233,1
110850,F23232,1
110879,F17664,1
111065,,0
111074,,0
111079,,0
111081,,0
111087,,0
111091,F13960,1
111110,F39909,1
111137,F37545,1
111163,F2233,1
111269,,0
111314,,0
111337,,0
111341,F19895,1
111347,F24705,1
111355,F1078,1
111357,,0
111582,F22923,1
111583,F23514,1
111730,,0
111808,F18451,1
111809,,0
111831,F17794,1
111834,F18877,1
111838,F17805,1
111840,F18238,1
111841,F19013,1
111842,,0
111843,F19202,1
111844,F19386,1
111845,,0
111847,,0
111853,,0
111854,,0
111857,,0
111859,,0
111860,,0
111864,,0
111868,,0
111869,F39589,1
111886,,0
111887,,0
111890,,0
111971,,0
112069,F23083,1
112077,F39355|F39476|F39610|F39458,4
112079,F8279|F39414|F39415|F39355|F39476|F39476,6
112081,F3939,1
112093,F36686|F37410,2
112113,F439,1
112118,F13682,1
112119,F13684,1
112120,F13677,1
112121,F13678,1
112122,F13679,1
112123,F13683,1
112125,F13832,1
112230,F24219,1
112289,F39356|F39364|F39498,3
11229,F901,1
112402,F37308,1
112409,F927,1
112435,F34875,1
11246,F1763,1
11250,F1851,1
112601,,0
112609,F13487,1
112697,,0
112699,F9687|F9419|F12826|F9786|F10092|F9469,6
1127,F692,1
112735,F8279|F39349|F39367|F39391|F39458|F39475|F39369|F39434|F39610|F39458,10
112792,,0
112868,F39474|F39597|F39363|F39498|F39823,5
112881,,0
112944,F1439,1
112995,,0
113049,F23153,1
113052,F23354,1
113054,F23622,1
113139,,0
113148,,0
113229,F2017,1
113249,,0
113297,F1381,1
113325,,0
113353,F2920,1
113440,,0
113441,,0
113454,,0
113483,,0
113538,,0
113550,F8027,1
113551,F8102,1
113560,F8234,1
113562,F8236,1
113567,F8237,1
113598,,0
113819,F23051,1
113824,F10330,1
113852,F17804,1
113855,F17516,1
113862,F13830|F23476,2
113863,F13830|F23054,2
113894,F18035,1
113927,F8111,1
113951,F18877,1
113953,F18876,1
113961,F18573,1
113969,F17638,1
114041,F1824,1
114043,F19288,1
114143,F9355|F10148|F35385|F17724,4
114144,,0
114188,F24032,1
114201,F14314,1
114262,F8340,1
114265,F4284,1
114269,,0
114302,F37338,1
114481,F17324,1
114551,F22396,1
114578,F18574,1
114579,F19244,1
114584,F19006,1
114585,F18925,1
114586,F35435,1
114587,F19237,1
114598,F9822,1
114615,F17624,1
114618,F17992,1
114619,F18200,1
114702,,0
114719,F17394,1
114746,F3948,1
114758,F3439,1
114769,F2970,1
114770,F2959,1
114771,F1345,1
114778,F41198|F41819,2
114784,F39538,1
114916,,0
114917,F13580|F13462|F13502|F13785,4
114919,F13462|F13502|F13867|F13619,4
11499,F15871,1
11501,F12974,1
11502,F17653,1
115104,F18846,1
115135,,0
115144,,0
115327,F23677,1
115630,F19190,1
115714,F24971,1
115715,F24409,1
115716,,0
11574,F1619,1
115891,F6515,1
115894,F38698,1
115895,F38696,1
115902,F9620,1
115903,F4472,1
115951,F37231,1
115961,F19262,1
116055,F1704|F479,2
116056,F31292,1
116071,F33566,1
116072,F33541,1
116086,F33564,1
116105,F17321,1
116146,F29414,1
116152,F29407,1
116156,N-1,1
116160,F13776,1
116161,F13649,1
116167,,0
116477,,0
116479,,0
116480,,0
116481,,0
116484,,0
116489,,0
116701,,0
116703,,0
116704,,0
116706,,0
116707,,0
116717,,0
116720,,0
116722,,0
11677,F9303|F461|F10459|F10276,4
116771,,0
116773,,0
116820,,0
116855,F17334,1
116877,F17411,1
116878,F17517,1
116879,F18036,1
116881,F17518,1
116926,F10038|F10037,2
116940,,0
116992,F33746,1
116998,F34607,1
117009,F23729,1
117010,F23728,1
117011,,0
117130,F17524|F17525,2
117194,,0
117207,,0
11727,F36663,1
117322,F19076,1
117330,F23482,1
11735,,0
117637,F17392,1
117813,,0
117817,,0
117822,,0
117825,,0
117828,,0
117880,,0
117975,,0
117976,,0
117978,,0
117979,,0
117980,,0
117985,F23973,1
117986,,0
117989,F24471,1
117990,F24472,1
117991,,0
117994,,0
118006,,0
118172,,0
118173,,0
118174,,0
118176,,0
118177,F3767,1
118178,,0
118269,,0
118270,,0
118272,,0
118274,,0
118378,F19455,1
118379,F19456,1
118409,,0
118417,,0
118419,,0
118421,,0
118423,,0
11845,F22990,1
118544,F3954,1
118547,F3955,1
118560,F18632,1
118567,,0
118568,,0
118570,F13475|F13542|F1019,3
118571,F9998,1
118580,F18948,1
118581,F18947,1
118585,F19045,1
118586,F13475|F13542|F1019,3
118588,,0
118591,,0
118596,F18060,1
118654,,0
118655,,0
118658,,0
118659,,0
118663,,0
118670,,0
118742,F23355,1
118744,F23155,1
118765,F19330,1
119144,F13149,1
119145,F13152,1
119148,F13100,1
119149,F13101,1
119152,F13150,1
119155,F13406,1
119198,,0
119203,,0
119235,F6631,1
119237,F5327,1
119238,F36582,1
119432,F34471,1
119752,F39768,1
119761,F39776,1
119854,,0
120117,F14622,1
120165,,0
120166,,0
12026,,0
12030,,0
12031,,0
12033,,0
12034,,0
12038,,0
12042,,0
120459,,0
12046,,0
12056,F17371,1
120570,,0
120571,,0
120572,,0
120582,,0
12061,,0
120692,F8142,1
120706,F12566,1
120715,F12570,1
120743,F37864,1
120744,F17321,1
120747,F17321,1
120748,F17323,1
12080,,0
12087,F19410,1
120893,F17427,1
120894,F17538,1
120895,F18057,1
120896,F18606,1
120898,F18611,1
120899,F18612,1
120900,F18936,1
120901,F18937,1
120902,F18938,1
120908,F19264,1
120909,F19265,1
120912,F19267,1
12092,,0
12093,,0
120975,,0
12098,,0
121044,F41922,1
121101,F37119|F37183,2
12128,,0
12133,F9865|F9442|F9916|F10310,4
12139,F10438|F10437|F611|F612,4
121509,F13180,1
121537,F29410,1
121550,F41403|F9951|F9275|F9267,4
121575,,0
121649,F33958,1
121652,F33957,1
121681,F3971,1
121682,F6612,1
121746,F6614,1
121747,F6611,1
121770,,0
121771,,0
121772,,0
121773,,0
121774,,0
121775,,0
121776,,0
121777,,0
121778,,0
121812,F4447,1
121813,F6613,1
121817,F4460,1
121826,F9398|F9399,2
121902,F656,1
121903,F17828,1
121904,,0
121905,,0
121906,,0
121916,,0
121918,F34027,1
121919,F34030,1
121920,F34031,1
121921,F13404,1
121923,F13370,1
121924,F598|F2672,2
121946,F37119|F37183,2
121951,F960,1
122074,F18563,1
122080,,0
122085,,0
12209,F41283|F41127|F41531|F41526,4
122236,F15712,1
122644,,0
122651,F3526,1
122652,,0
122699,,0
122700,F23090,1
122746,F2698,1
122768,,0
122783,,0
122864,,0
122909,,0
122912,,0
122957,,0
123017,F1963,1
123023,F2986,1
123081,F17402,1
123082,F17395,1
123086,F17396,1
123087,F17508,1
123089,F17504,1
123244,,0
123333,,0
123608,,0
123749,F37392,1
123919,F3820,1
124086,F9583|F9309,2
124089,F10137|F7764,2
124099,F13145,1
124100,F34414,1
124101,F13848,1
124102,F13847,1
124103,F34411,1
124104,F34410,1
124112,F565,1
124133,F13478|F1108,2
124164,F36672,1
124207,F38449,1
124211,F41464|F41556,2
124219,F41637|F37650,2
124220,F41637|F37650,2
124276,F12784|F12785|F12784|F12785|F10540,5
12431,,0
124353,,0
124386,F3582,1
124387,F4399,1
124388,,0
124535,,0
124645,F2399|F1540|F1116|F657,4
124646,F1208|F1948,2
124653,,0
124660,,0
125017,,0
125020,,0
125097,,0
12514,,0
12515,,0
12522,,0
125266,,0
125267,,0
125268,,0
125270,,0
125271,,0
125292,,0
12540,,0
12541,F17583,1
12542,,0
12547,F20636,1
12548,,0
12549,,0
125510,F24932,1
125511,F24933,1
125513,F23905,1
125515,F24889,1
12556,,0
12557,,0
125599,F9372|F7763|F7980,3
125798,,0
12581,F37249,1
125813,F42209,1
125890,F12632,1
125896,,0
125898,F23424,1
125899,F12676,1
125918,F38779|F38430|F38374|F5762|F38611|F36113,6
125919,F36970|F36264|F5068|F5071,4
125948,,0
125956,,0
125967,F35196,1
126045,,0
12626,F460,1
126283,,0
12631,F23352,1
126320,,0
126380,F5058,1
126446,F18759|F37635,2
126447,F18759|F37635,2
126448,,0
126449,,0
126450,,0
126574,,0
126575,,0
126576,,0
126918,F13408,1
126919,F13410,1
126996,F33916,1
127049,F34515,1
127310,F39051|F38764|F36697|F37078|F37465|F37895,6
127341,F10361|F9659|F9749,3
127364,F10361|F10321|F10282,3
127366,,0
127378,F37613,1
127391,F934,1
127408,F38004,1
12746,,0
12747,,0
127625,,0
127626,F24947,1
127627,F24430,1
127628,,0
127629,,0
127630,F39742,1
127631,F25675,1
127632,F24418,1
127720,,0
127721,,0
127731,F5125,1
127790,,0
128055,,0
128169,F3199,1
128170,F2764,1
128207,F9570|F9286|F10327|F1221,4
128293,,0
128294,,0
128296,,0
128475,F18627,1
128476,F10718,1
128478,F25403,1
128510,,0
128859,F2911,1
128887,,0
128888,F11436,1
128941,F788|F561|F10407|F863,4
129242,,0
129312,F9457|F9513|F9289|F9234|F34241|F9291,6
129346,F40703,1
129347,F7212,1
129354,F38374|F5762|F38611|F36113,4
129405,,0
129431,,0
129564,,0
129578,,0
129635,,0
129645,F39957,1
129708,,0
129727,F9528|F9904|F10266,3
129738,F1503|F871|F2639|F2261,4
129739,F9342|F9322|F9363|F9499|F35983|F36428,6
129740,F9342|F9322|F9363|F9499|F10146|F1275,6
129742,F9342|F9322|F9363|F9499|F2608,5
129749,F9342|F9322|F9363|F9499|F2608,5
129774,F38569,1
129775,,0
129776,F4529,1
129778,,0
129810,F38292,1
129811,F36755,1
129865,,0
129887,,0
129894,,0
129905,,0
129934,F25409,1
129983,,0
130013,,0
130022,F1037,1
13006,F41675|F41578,2
130063,F3880,1
130066,F3880,1
130069,F2031|F2030|F1302|F1319,4
130071,F1595|F1337|F759|F1003,4
130075,F4349|F1337,2
130076,F2418|F2938|F2939,3
130078,F2031|F2030|F762,3
130084,,0
130092,F9485|F9613|F1146,3
130094,F9798|F9812,2
130128,F37157,1
130137,F37007,1
130141,,0
130143,F9816,1
130146,F9632,1
130148,F9925,1
130149,F9925,1
130150,F3644,1
130187,F3710,1
130212,,0
130227,F4418,1
130258,F11247,1
130306,,0
13035,,0
130385,F33311,1
130447,F9787|F10094|F9787|F10094,4
130449,F9787|F10094|F9787|F10094,4
130452,F24821,1
13054,F37039,1
130570,,0
130604,F11281,1
130606,F11266,1
130613,F36967|F35844|F36968|F36745,4
130658,,0
130662,,0
130664,,0
130736,F19003,1
130745,,0
130783,F9460|F9585|F1200,3
130784,F14049,1
130801,F9624|F9426|F9426|F9693|F9426,5
130860,,0
130861,,0
130863,,0
130893,,0
130910,,0
130914,,0
130916,,0
130921,,0
130926,,0
130928,,0
130934,,0
130941,,0
130943,,0
130972,,0
131033,F8592,1
131139,F9908|F9530|F9605|F9372|F9606|F9604|F9330,7
131208,,0
131343,F25532,1
131386,F38104,1
131394,F38105,1
131397,F38106,1
131447,F38453,1
131453,,0
131465,F38456,1
131472,F38451,1
131473,F38452,1
131474,F38454,1
131478,N-1,1
13149,,0
131518,F17898,1
131526,F33309,1
131529,F18737,1
131571,F36595|F35776|F37057|F35888,4
131615,F19197,1
131807,,0
132058,,0
132076,,0
132187,F4092,1
132201,,0
132207,,0
132266,F3776,1
132275,F10442|F9527|F9563,3
132285,F2285,1
132291,F22495,1
132292,F15960|F15945,2
132294,F22498,1
132297,F33521|F33522|F35418,3
132364,F2893|F2896,2
132378,F18154,1
13240,F9899|F9625|F9693|F9626,4
132408,F19154,1
132409,F19155,1
132410,F24713,1
13245,F17921,1
132464,F38311,1
132522,F38063|F38763|F36697|F37078|F37464|F36704,6
132547,,0
132558,,0
132561,,0
132592,,0
132594,,0
132595,,0
132599,,0
132660,F24406,1
132664,F24431,1
132668,F24972,1
132672,F24958,1
132735,F25410,1
132736,F19522,1
132799,,0
132801,,0
132803,,0
132819,,0
132836,,0
132861,F25463,1
132956,,0
132958,,0
132971,F34784,1
133022,F24260,1
133073,,0
133074,,0
133096,,0
133104,F25384,1
133134,,0
133302,F1964,1
133307,F14078,1
133308,F14240,1
133388,,0
133390,F25383,1
133391,F25390,1
133444,F17176,1
133548,F3423,1
133599,F17173,1
133639,F25504,1
133713,F22486,1
133729,F23001|F22457,2
133757,,0
13378,F1799,1
13379,F10244|F10083|F10085|F9934,4
133808,F25388,1
133809,F25387,1
13402,F9292|F9262|F9370,3
134063,,0
134077,,0
134100,,0
134114,F11534,1
134120,F17178,1
134142,F8558,1
134183,,0
134396,F40202,1
134421,F17382,1
134445,F10715,1
13446,F35971,1
134469,,0
13447,F35972,1
134499,,0
13452,F9756|F9773,2
134593,,0
134601,,0
134602,F4424,1
134788,F25093,1
134851,,0
134874,,0
134890,F192,1
134909,,0
134912,,0
134915,F13675,1
135035,,0
135046,,0
135049,,0
135089,,0
135147,,0
135212,,0
135213,F28183,1
135241,F27808,1
135284,F16116,1
135286,F15985,1
135294,F39430|F39433,2
1353,F41794,1
135302,F39430|F39433,2
135304,F16246,1
135305,F10019,1
135306,F39494,1
135315,F16117,1
135367,F10995,1
135383,,0
135409,F10993,1
135542,F37961,1
135582,,0
135585,,0
135594,,0
135637,,0
135643,F24155,1
135676,,0
135702,F25799,1
135776,F17642,1
135786,,0
135787,,0
135795,,0
135823,,0
135859,,0
135881,,0
135884,F4408,1
135899,,0
135911,,0
135917,,0
135919,F2477,1
135920,F11105,1
135921,,0
135926,F11101,1
135927,F3378,1
136008,F24153,1
136012,,0
136031,F24639,1
136085,,0
136117,,0
136118,,0
136124,F4872,1
136127,F11545,1
136192,,0
136223,F9460|F9585|F1200,3
136371,F19153,1
136388,F24736,1
136391,F24737,1
136589,,0
136714,F41083,1
136758,,0
136780,,0
136829,,0
136851,F9382|F9252|N50820|F10238|F10299,5
136936,F10821,1
136980,F22918,1
137018,F14262,1
137023,F14437,1
137028,F34552,1
137035,F10038,1
137079,F34335,1
137181,,0
137221,,0
137235,,0
137246,,0
137261,F33907,1
137267,F33870|F33975|F33883|F33879,4
137272,F9787|F10094|F9785|F1165,4
137287,,0
137322,F17801,1
137323,F18590,1
137332,F17278|F17279|F41372|F41362,4
137391,F787|F10095|F10015|F9763|F9761,5
137396,F36265|F10951|F37302|F37301,4
137399,,0
137400,F38216|F39128|F36697|F37078|F37464|F36704,6
137402,F4921,1
137443,F33842,1
137445,F33840,1
137461,,0
137462,,0
137464,,0
137468,,0
137472,,0
137474,,0
137475,,0
137486,,0
137508,,0
137540,,0
137586,F8317,1
137649,F1487,1
137667,F2381,1
137724,F33917,1
137747,,0
137748,F16011|F15979,2
137813,,0
137878,,0
13797,,0
137980,,0
137982,,0
137985,,0
137993,,0
138147,N48873|F10414|F831,3
138231,,0
138505,,0
138586,F40143,1
138637,,0
138645,,0
138707,F35561,1
138748,,0
138769,,0
138844,,0
138845,,0
138886,F25258,1
138927,F18830,1
139081,,0
139084,,0
139146,F10081|F10187|F7835|F7779,4
139188,F4463,1
139191,F14258,1
139193,N-1,1
139225,N-1,1
139265,,0
139535,,0
139638,F7860|F39486,2
139640,F36243,1
139693,,0
139708,,0
139950,F19621,1
140026,,0
140034,,0
140045,,0
140048,,0
140126,,0
140155,F18202,1
140169,F18697,1
140175,F19169,1
1403,F36123,1
140335,F41273|F41198|F41819|F36448|F41303|F37093,6
140426,,0
140448,F10431|F10475|F9787|F10094,4
140494,F10407|F863,2
140504,,0
140622,F9528|F9904|F9415|F10266,4
14069,F3171,1
14070,F3165,1
14071,F3166,1
14073,F3169,1
140753,,0
14076,F3168,1
14078,F3170,1
140782,,0
140787,,0
14079,F3172,1
140798,,0
14080,F10059,1
14081,,0
140814,F16232,1
140824,F16147,1
14083,,0
14084,,0
140845,,0
14085,,0
14086,,0
141396,F16182,1
141398,F16149,1
141400,F16184,1
141403,F16244,1
141404,F16243,1
141410,F16262,1
141412,F16257,1
141413,F16193,1
141416,,0
141420,F16178,1
141433,,0
141434,,0
141457,,0
141458,,0
141460,,0
141616,F1343|F10376|F1344|F1054,4
141627,,0
141717,F18001,1
141732,F17738,1
141819,F41643|F41208|F41644|F9897,4
141822,,0
141961,,0
141972,,0
141977,,0
142047,F40369,1
142096,F525|F3293,2
142098,F1323|F1205|F2040|F462,4
142137,F10137|F10313,2
142159,,0
142183,F9655|F10152|F10152|F36332|F10267,5
142213,F10137|F9569|F9732|F9224|F9321|F9396|F9445,7
142215,F25303,1
14226,,0
142432,,0
142450,,0
142471,F25190,1
142481,F18910|F18591,2
142483,F17415|F18617,2
142499,F23401,1
142518,,0
142567,,0
142630,F10867,1
142757,F40165,1
142758,,0
142790,,0
142799,,0
142816,,0
142824,,0
142849,,0
142864,,0
142866,,0
142869,,0
142872,,0
142874,,0
142880,,0
142884,,0
142885,,0
142887,,0
142891,,0
142893,,0
142912,N48873|F831|F625|F1423,4
142914,F1421|F1106|F831,3
142916,F10055|F9902|F10414|F10056|F831,5
142917,F10001|F9748|F1104|F625|F1423,5
142932,,0
142935,,0
142940,,0
142942,,0
142950,,0
143005,,0
143025,,0
143056,,0
143111,F34753|F41997|F17292,3
143115,F22680,1
143133,F25144,1
143244,F23792,1
143322,,0
143329,F17480,1
143398,F34753|F41997|F17292,3
143400,F34753|F41997|F17292,3
143403,F34753|F41997|F17292,3
143404,F23194,1
143406,F25145,1
143407,F25147,1
143412,F23415,1
143416,,0
143463,F17415|F18617,2
14347,F18058,1
14348,F1868,1
143497,F36196,1
143501,F24307,1
143503,,0
143505,F24558,1
143507,,0
143696,F5124,1
143839,F38074,1
143856,F9895|F10058|F1094|F10041|F593|F592,6
144152,F1934,1
144171,,0
144177,,0
144192,,0
144194,F37614,1
144335,,0
144375,F36312|F35710|F36493|F36176,4
144389,F38534,1
144467,F14355,1
144470,F13992,1
144477,F14358,1
144535,,0
144604,F25030,1
144607,F23620,1
144609,F25721,1
144660,,0
144671,F18806,1
144690,F41357|F41803,2
144714,F37683,1
144831,,0
144835,F36575|F36717,2
144909,F13789,1
144993,F19523,1
144997,F19524,1
145003,,0
145097,F39523|F39610|F39458|F39597|F39414|F39415|F39355|F39476|F39476,9
145186,F19433,1
145211,F36519,1
145214,F36831,1
145381,,0
145475,,0
145476,F25087,1
145561,F8279|F39349|F39367|F39391|F39458,5
145764,,0
145779,,0
145780,,0
145781,,0
145782,,0
145817,,0
145919,,0
145923,,0
145962,F9555|F9339|F9244|F9480,4
145992,,0
146193,F19087,1
146194,F19092,1
146207,,0
146209,,0
146214,,0
146372,F11573,1
146814,,0
146815,,0
146817,F34591,1
146891,,0
146894,,0
146931,F22792,1
14695,,0
146991,F22916,1
147177,F14163,1
147258,F24726,1
147260,F24725,1
147270,F24729,1
147309,,0
147369,,0
147372,,0
147573,,0
147578,,0
147580,,0
147654,F1827,1
147656,F3133,1
147657,F3694,1
147659,F3159,1
147660,F3132,1
147661,F9532|F9471,2
14791,F37380,1
148178,,0
148190,,0
148205,,0
148282,,0
148321,F36768,1
148324,F36983,1
148474,F37591,1
148485,,0
148489,F38313,1
14851,F12561,1
148515,F41229|F41215|F36087|F37117|F36891,5
148523,F16124,1
148528,F17142|F9284,2
148532,F25672,1
148543,F24429,1
148594,F656,1
148602,,0
148761,F15994,1
148783,F4850,1
148784,F37552,1
148788,F4891,1
148844,F4502,1
148895,F10786|F10648,2
149410,F1348|F9579|F9580,3
149411,F9757|F9509,2
149421,F9305|F1043,2
149596,,0
149610,,0
149612,,0
149613,,0
149661,,0
149682,,0
149693,,0
149697,,0
149703,,0
149742,F1550,1
149745,F3613,1
149746,,0
149781,,0
149801,F37173,1
149802,F36520,1
149804,F37940,1
149809,F37952,1
149810,F37672,1
149833,,0
149866,F4634,1
149867,F36131,1
149869,F41126|F41063|F41255|F41354,4
150018,F17776,1
150153,F21811,1
150158,,0
150161,,0
150162,F19667,1
150302,,0
150451,,0
150461,F4168,1
150516,,0
150519,F1987|F493,2
150525,F15962,1
150526,F15951,1
150535,F10125|F1597,2
150566,F39562|F36062,2
150569,F17142|F9284,2
150572,,0
150581,F991|F2453,2
150606,F882,1
150618,,0
150621,,0
150623,,0
150625,,0
150634,,0
150643,,0
150673,,0
150675,,0
150680,,0
150681,,0
150682,,0
150684,,0
150685,,0
150697,F9624|F9426|F1119|F9898|F10389,5
150718,F17142|F9284,2
150739,,0
150740,,0
150747,,0
150754,,0
150756,,0
150758,,0
150770,,0
150790,,0
150856,,0
150930,F17142|F9284,2
150931,F3517,1
150932,F17142|F9284,2
150933,F17142|F9284,2
150934,F17142|F9284,2
150937,F17142|F9284,2
150943,F17142|F9284,2
151084,,0
151191,,0
151227,,0
151235,F16277,1
151257,F36994,1
151265,,0
151276,,0
151291,F3764,1
15150,,0
151537,,0
151545,F37435,1
151574,F37486,1
151603,,0
151628,F37736,1
151981,F19478,1
151986,F9662,1
152077,F8382,1
152133,,0
152136,,0
152138,,0
152166,F13318,1
152168,F13290,1
152171,F13291,1
152201,F18584,1
152234,F17790,1
152314,,0
152475,F34470,1
152559,,0
152714,F13334,1
152724,F13333,1
152727,F13331,1
152799,F18803,1
152800,F27341,1
152803,F24316,1
152804,F32662,1
152806,F30682,1
152842,F25572,1
152849,F18029,1
152856,F13332,1
152858,F34393,1
152861,F4874,1
152862,,0
152880,F13286,1
152881,F13326,1
152929,F24845,1
15293,F13906,1
152934,F30679,1
152935,F33308,1
152938,F29581,1
152942,F28371,1
152946,F27321,1
152957,F25021,1
152964,F25019,1
152967,F24847,1
153179,N-1,1
153183,F41210|F41634,2
153189,,0
153190,,0
153200,F13327,1
153232,,0
153258,,0
153259,,0
153264,,0
153337,,0
153338,,0
153339,,0
153340,,0
153376,F13462|F13578,2
153379,,0
153394,F13989,1
153402,,0
153511,,0
153512,F14962,1
153533,,0
153656,F41714|F35714|F41779|F10520,4
153657,,0
153713,,0
153731,,0
153744,,0
153762,,0
15381,F1859,1
153854,F18918,1
15388,F36295,1
153904,F39980,1
154206,F17526,1
154210,F18030,1
154216,F18581,1
154220,F18032,1
154222,F18031,1
154227,F18585,1
154240,F18583,1
154241,F17791,1
154243,F17789,1
154274,F31758,1
154284,F33313,1
154314,F24834,1
154318,F31755,1
154319,F25018,1
154322,F25582,1
154324,F25583,1
154336,F24848,1
154338,F27320,1
154339,F25020,1
154343,F25579,1
154356,,0
154359,F28373,1
154365,F29582,1
154368,F24844,1
154371,F32665,1
154374,F24833,1
154385,F23868,1
15439,F42546,1
154393,F23293,1
154463,,0
154469,,0
154538,F16224,1
154670,,0
154673,,0
154762,F10442|F9527|F9563,3
154767,F14689,1
154841,,0
15491,,0
154937,F5128,1
154952,F25452,1
154953,F33190,1
155051,F1787|F1425|F9656|F1312,4
155052,F19168,1
