img_id,pg_id,blood,blood_id,blood_name
100591,16-29-0155,山普森直子X山普森母亲889,01-29-008063|02-29-000523|04-29-000215|04-29-000239|04-29-030016|05-29-003889|06-29-027241|07-29-016607|07-29-016608|07-29-016675|07-29-016894|10-29-020115|20-29-088888,山普森直子X山普森母亲889
100614,18-29-0008046,西北全能女王号母子近血,09-29-118576500|16-29-0123912|18-29-0008046|B03-6129799|B05-3185140|B99-3020065|N2007-2036936,西北全能女王号母子近血
100767,B05-6153324,詹森麦克斯,B00-6553131|B03-6485765|B05-6153324|B91-6227403|B91-6227405|B95-6274317|B95-6274330|B97-6592444,詹森麦克斯
100867,2006-03-349879,,2001-03-285977|2002-10-681571|2003-03-360455|2004-03-095572|2006-03-349879,
100870,2005-03-366090,,1998-03-106930|2004-01-108743|2005-03-366090,
100900,NL08-2020815,彼特·文斯特拉,N00-1090367|N00-1122128|N02-5255446|N05-5535809|N08-2020815|N97-5700643|N99-2585526,彼特·文斯特拉
100924,,,B01-6387351|B03-6287040|B03-6287084|B06-6270353|B07-6221063|B08-6144137|B09-6248211|B2007-6221577|B94-07348443|B95-6300210|B97-6145223|B97-6597227,
101010,2002-08-222472,兰色火箭系,1982-385352|1998-349578|99-02-195678|N1973-2330440|N1981-8115173|N95-1784681,兰色火箭系
101015,2006-08-021999,兰色火箭系,1982-385352|1998-349578|99-02-195678|N1973-2330440|N1981-8115173|N95-1784681,兰色火箭系
101048,2010-03-809987,,2006-589297|2007-03288830|2008-03-390060|2008-03-390097|2008-03-390098|2008-970024,
101069,2010-03-809981,,2004-01-108743|2005-06-141999|2010-03-809981|N00-1807342|N00-1807347,
101074,2010-03-809887,,2004-01-108743|2010-03-809887|N00-1807342|N00-1807347,
101103,B04－5065517,罗森.波斯,B00-5150456|B92-6451510|B93-2508820|B99-5105128,罗森.波斯
101115,CHN2002-01-445232,桑杰士,2002-01-445232,桑杰士
101124,08-926269,桑杰士,2002-01-445232|2005-01-325628|2008-01-926269,桑杰士
101126,08-926217,桑杰士X慕利门,2003-01-289442|2006-01-181437|2008-01-926217,桑杰士X慕利门
101192,NL10-1083072,彼特·文斯特拉,N02-5255446|N04-5435151|N05-1909293|N08-2020822|N10-1083072|N97-5700643|N99-2585526,彼特·文斯特拉
10164,NL06-1195033,鲁道克拉森,N00-0077729|N01-0179459|N01-0179465|N93-1125375|N94-9410369|N97-9779802,鲁道克拉森
101728,CHN10-15-259348,马克.罗森斯,10-15-259348|B94-9080164,马克.罗森斯
101747,18-29-0008049,西北全能女王号母子近血,09-29-118576500|16-29-0123912|4918-29-0008049|B03-6129799|B05-3185140|B99-3020065|N2007-2036936,西北全能女王号母子近血
101762,18-29-0338468,恩格斯377子/范德佛拉斯124,16-29-0009853|18-29-0026152|18-29-0026153|18-29-0338468,恩格斯377子/范德佛拉斯124
101860,B09-5051566,吐尼尔,B09-5051566|B47-4207842|N91-1122331,吐尼尔
101911,2010-03-809885,,2006-01-589297|2006-06-130614|2007-03288830|2008-03-390012|2008-03-390060|2008-03-390097|2008-03-390098|2008-03-726704|2010-03-809885,
101924,2004-01-108743,,2004-01-108743|B94-6434152|N00-1807342|N00-1807347|N94-2412106|N94-2412892|N96-1606324,
101925,2010-03-809888,,2004-01-108743|2010-03-809888,
101942,2009-03-388777,,2006-589297|2007-03288830|2008-03-390060|2008-03-390097|2008-03-390098|2008-970024,
102077,,,2010-06-255901|BLG2005-6338438,
102111,B03-6266119,胡本,B03-6266119|B82-6380170|B87-2297197|B96-6615170|B99-3199502,胡本
102332,19-29-0441007,恩格斯231系X李军恩格斯,07-29-016869|14-29-305410|18-29-0026638|19-29-0441007|B10-6166322,恩格斯231系X李军恩格斯
102335,CHN11-01-061771,速霸龙x飞戈,09-20-003315|11-01-060209|11-01-060492|11-01-060729|11-01-061008|11-01-061236|11-01-061336|11-01-061352|11-01-061715|11-01-061771|11-01-061896|B02-3025837|B04-4277258|B06-5150016|B09-5188167,速霸龙x飞戈
10259,,,B90-2553359|B99-2036108,
10260,,,B00-2352694|B02-2214020|B86-6400875|B93-2132110,
10261,,,B00-2352687|B03-3241956|B94-2061091,
10262,,,B92-2198177|B97-2076275,
10264,,,B01-2137178|B90-2553359,
102658,,凡龙.银影,2000-037586|N94-1380745|N96-2394517|N97-2530768|N98-2221756|N99-1870557,凡龙.银影
102659,,凡龙.银影,2000-037586|N94-1380745|N96-2394517|N97-2530768|N98-2221756|N99-1870557,凡龙.银影
102660,,凡龙.银影,B93-6491235|B97-2544392|N2001-1411356|N82-1181843|N88-2179972,凡龙.银影
102694,DV0964-04-96,德拉帕,D01769-98-919|D09468-04-95,德拉帕
102696,,吐尼尔,N03-1801966|N04-1323827|N04-1903404|N06-1676733|N86-1411256|N86-1462839|N93-2831900,吐尼尔
102706,,胡本,B03-6266193|B05-6166110|B82-6380170|B96-6223094|B98-6594053,胡本
102707,,胡本,B98-6594049|B99-6143980,胡本
102709,,甘纳斯,N93-9323197,甘纳斯
102710,,甘纳斯,03-12-009164|06-12-233513|N93-4053083,甘纳斯
102711,CHN08-12-169009,甘纳斯,03-12-009891|05-12-001368|06-12-020103|B93-4656043,甘纳斯
102712,CHN05-12-009782,甘纳斯,03-12-009637|04-12-209217|N93-9323197|N96-9613089,甘纳斯
102713,AU2001-GFL-961,好莱坞,N93-4053083,好莱坞
102714,,黄金配对,N93-4053083,黄金配对
102716,CU2001-03244,甘纳斯,N93-4053083,甘纳斯
102717,CHN08-09-013193,苍白骑士,04-09-152721|98-10-539307|99-10-077594|99-10-539145|B96-3096016|N91-1122331|N97-1449357,苍白骑士
102719,CHN08-09-592896,苍白骑士,00-10-020258|00-10-020466|01-09-115157|98-10-539307|99-10-539145|B85-6379787|B95-2363131|B96-3096010|N91-1122331|N97-1449357,苍白骑士
102745,CHN09-15-205277,红卡多*芬尼卡5000*红狐731,B81-6116651|B91-2306245,红卡多*芬尼卡5000*红狐731
102798,2002-01-001918,,2002-01-001918|2006-589297|2007-03288830|2008-03-390060|2008-03-390097|2008-03-390098|2008-970024,
102800,2006-03-349878,,2002-10-681571|2006-03-349878|2007-03-288996|2007-03-288997|2009-03-387888,
102803,2010-03-809988,,2006-589297|2007-03288830|2008-03-390060|2008-03-390097|2008-03-390098|2008-970024|2010-03-809988,
102804,2009-03-388900,,2006-589297|2007-03288830|2008-03-390060|2008-03-390097|2008-03-390098|2008-970024|2009-03-388900,
102847,B10-5182723,速霸龙,B00-5150456|B02-5065076|B03-5241862|B05-5133416|B05-5220492|B10-5182723|B94-4407032,速霸龙
102963,B05-3185185,飞戈,B1999-3020065|B2010-2007035,飞戈
103074,B09-2203703,大内高手*奇米号,B05-2267275|B06-2259622|B09-2203703,大内高手*奇米号
103085,B02-6034130,胆小二号,B74-6252989|B80-6546877|B90-6324237|B96-6086240,胆小二号
103099,B03-5235916,大内高手155”孙X“国家1号”直孙女,B03-5235916|B90-5276902|B91-6371155|B92-5065698|B96-2208805|B96-2443353|B98-5090238,大内高手155”孙X“国家1号”直孙女
103100,B02-2142860,桑杰士1999KBDB中距离鸽王全国冠军直子,B02-2142860|B91-6371155|B92-2195263|B94-6456092|B95-2209098|B96-2208802|B98-5090216,桑杰士1999KBDB中距离鸽王全国冠军直子
103224,CHN04-09-000056,永胜系,04-09-000056|2000-09-00324|2000-09-264017,永胜系
103245,CHN08-09-125828,永胜系,08-09-125828|2000-09-00324|2000-09-264017,永胜系
103380,CHN29-10-050406,兴祥电脑戈马力家族,2011-29-069551|2012-29-080925|2012-29-080962|2012-29-109408|2013-29-131410,兴祥电脑戈马力家族
103403,CHN29-10-178892,兴祥五关鸽王,2012-29-080925|2012-29-080962|2012-29-109408|2013-29-131410,兴祥五关鸽王
103442,2010-15-323731,七星麦克斯近亲直孙,2004-15-065427|2004-15-070719,七星麦克斯近亲直孙
103443,,速霸龙,B01-4241981|B08-4061050|B10-4101114|B94-4421875|B99-4393519|N08-2048793,速霸龙
103570,CHN2002-16-122886,詹森,2002-16-122886,詹森
103631,2009-16-018614,德拉帕,9341-98-770|D09341-98-770,德拉帕
10379,05-499804,,BLG1994-6214187|BLG1996-6223353,
103833,B06－5150283,乔斯.托内,B02-5051214|B84-2558479|B92-5000929|B92-5335457|B93-5010001|B94-5018042,乔斯.托内
103892,,,05-03-026553|06-27-000136,
103905,,,06-27-000037,
103909,,,06-27-000037,
103910,,,06-03-026553|06-27-000136,
103911,,,05-27-000020|08-06-039298,
103913,10-06-035849,,06-27-003868|08-06-039031,
103919,,,08-06-039092|09-06-159842,
103920,,,06-06-143002|06-27-003778,
103976,TF07-549259,红狐731直孙*81红狐直女,B81-6116651|B87-6337115|B87-6337276|B93-6440306|B98-6278107,红狐731直孙*81红狐直女
103979,CHN2016-32-0552821,佛卡门,12-01-565067|14-01-905159|2016-32-0552821|B01-6387174|B01-6387350|B07-6221477|B09-6370741|B10-6052583,佛卡门
103990,,,B04-6315208|B06-6307566|B2007-6390939|BLG1999-6340994|BLG1999-6343940|N10-1173488,
104012,,,06-27-000100|07-27-000046,
104014,,,04-03-062182|06-27-000136,
104084,BELG2009-6222923,胡本,B00-6156297|B03-6266353|B82-6380170|B92-6074328|B94-6214446|B97-6165917|BLG2009-6222923,胡本
104100,CC2010-428739,克拉克,2003-030473|2010-428739|B82-5000628|B86-2118002|B86-9122830|B92-2198041|N82-1325105|N88-2692608,克拉克
104103,CHN10-15-187624,詹森飞毛腿,10-15-187624|B88-6717673|B88-6725723|B89-6727915|B92-2526241|B98-3200237,詹森飞毛腿
10414,98-09-109375,,2003-02-243792|2007-02-410634|2010-02-012634|2010-02-012681|2012-05-008325|2012-05-091122|2012-05-091453|2012-05-091566|2012-05-091569|2012-05-091682|2012-05-091683|2012-05-091749|2012-05-091969|2012-05-176388|97-09-185923|98-09-109375,
104537,CHN2007-15-046712雌,电脑二号桑杰士,B03-5115310|B04-5065567|B96-2498139|B97-5204459,电脑二号桑杰士
104653,AU-2008-366,福乐,09-14-062215,福乐
104658,AU2007-408,帝卢-速霸龙,09-14-055500|09-14-062215|10-14-025317|N98-1554716,帝卢-速霸龙
10466,B03-6097248,桑杰士,B00-6194280|B00-6340067|B00-6551439|B01-6522052|B03-6097248|B88-6502411|B89-6606996|B89-6611614|B89-6611641|B89-6721929|B92-6074663|B92-6596037|B93-2434274|B93-6237320|B97-6355026,桑杰士
104744,CHN1998-09-011270,林波尔系,1998-09-011270,林波尔系
104745,CHN1998-09-018729,林波尔系,1998-09-011270,林波尔系
104751,CHN2003-10-209847,林波尔系,2003-10-209847,林波尔系
104758,CHN2004-10-289252,林波尔系,2003-10-209847|2004-10-289252,林波尔系
104768,CHN2004-10-300473,火箭691直女,2004-10-300473|N01-1822815,火箭691直女
104854,CHN2005-10-548306,总统163直子,2005-10-548306|N01-1822815,总统163直子
104855,CHN2005-10-548307,总统163直女,2005-10-548306|N01-1822815,总统163直女
104963,18-29-0558702,飞戈悍将031配山普森特比环冠军,10-29-130031|10-29-130032|12-29-081492|18-29-0558702,飞戈悍将031配山普森特比环冠军
10497,B03-6096152,卡尔.穆利门,B03-6096152|B66-6122023|B67-6729926|B72-6111169|B75-6234182|B75-6273704|B79-6752570|B80-6480690|B80-6751870|B85-6375574|B86-6318901|B87-6342101|B87-6342168|B87-6342237|B89-6158845|B89-6624288|B90-6310182|B90-6310266|B91-6231345|B91-6231630|B91-6577406|B92-6579550|B93-6444233|B94-6263311|B94-6263369|B99-6030541|B99-6030598,卡尔.穆利门
105026,CHN2009-12-017646,勃默德配狄尔巴017646,04-12-111637|05-12-165834|2004-12-111631|2007-12-029125|2008-12-166046|2009-12-017646,勃默德配狄尔巴017646
105041,CHN2009-12-017786,勃默德017786,2000-12-008203|2000-12-008213|2000-12-008215|2006-12-010638|2009-12-017786|98-01-028641|99-12-076579,勃默德017786
105125,CH2010-20-007929,,B05-2130835|B07-2052256|N2007-4101237|N98-1436441,
105407,NL09-1647015,彼特·文斯特拉,5369-07-511|5369-07-512|N03-2261549|N03-5340879|N04-1891890|N05-1234915|N97-5700643|N99-1585506,彼特·文斯特拉
105408,B10-4258635,苏斯通国际冠军家族,B08-4122152|B09-4072803,苏斯通国际冠军家族
105409,B10-4258636,苏斯通国际冠军家族,2012-20-000878|B08-4122152|B09-4072803,苏斯通国际冠军家族
105411,BEL,小飞戈,B02-3025837|B89-3160827,小飞戈
105430,B10-4258661,苏斯通国际冠军家族,B06-4142749|B08-4122152|B09-4072803,苏斯通国际冠军家族
105431,B10-4258662,苏斯通国际冠军家族,B06-4142749|B08-4122152|B09-4072803,苏斯通国际冠军家族
105501,NL06-1078025,彼得米卫,N02-1644564|N04-0447254|N06-1078025,彼得米卫
105503,NL06-5629123,彼得.米卫,N00-1989654|N05-1574856|N06-5629123|N96-2638117|N97-5739199|N98-1436441,彼得.米卫
105506,,,2011-19-197623|B04-6315208|B05-6452484|B06-6109512|B06-6307566|B81-6600376|B84-6698864|B90-6501296|B93-6501202|B94-6380208|B94-6633774|B95-6471492|B98-6483700|B99-6340994|N10-1173488,
105578,B05-5124315,藩塔尼,B00-5244099|B02-6455413,藩塔尼
10558,B00-6340079,桑杰士,B00-6340079|B03-6147141|B81-6463080|B82-6240320|B82-6563415|B84-6355589|B85-2359090|B85-6531026|B86-2396354100|B88-6502411|B89-6606996|B90-6669181|B92-6074663|B92-6596037|B93-2434274|B97-6355026,桑杰士
105765,CHN10-03-021453,摩利斯.卡萨,06-03-278579|09-03-679872|B01-9040015|B01-9040056|B05-9029002|B05-9029035,摩利斯.卡萨
105915,NL10-1823006,100%多利号血统,N10-1823006|N67-2052951,100%多利号血统
105941,CHN2010-01-868817,瓦特*库瑞斯,B04-6313703|B04-6313731|B06-6173264|B07-2248511|B08-6130890|B08-6315672,瓦特*库瑞斯
105951,CHN18-2009-027466,琥珀,18-1999-031508|18-2005-109584|18-2006-014257|1988-8127029|2002-18-021408|32-2000-056843|N2000-2257921,琥珀
106047,BELG2009-6250000,乔斯.佛卡门,BLG2009-6250000,乔斯.佛卡门
106059,BELG2006-6270255,乔斯.佛卡门,BLG2006-6270255,乔斯.佛卡门
106064,BELG2009-6248565,乔斯.佛卡门,BLG2009-6248565,乔斯.佛卡门
10610,,纯杨·龚多拉斯,B98-2214187,纯杨·龚多拉斯
106333,NL-09-1214836,杨欧瓦克,B02-3025837|B03-6192766|B99-3151680|N01-5150294|N04-2062161|N07-1847799,杨欧瓦克
106470,BELG2009-4331013,速霸龙,13-02-012046|B00-4065848|B00-4066087|B00-4174021|B01-4489665|B02-4333310|B02-4333311|B02-4333378|B02-4406102|B03-4290077|B03-4290095|B04-2063085|B04-4052618|B05-2062145|B06-2042579|B91-4261261|B94-4438205|B97-4173729|B99-4365061|B99-4391511|B99-4500907,速霸龙
10649,B03-6042169,万候,B01-6519366|B02-6034121|B03-6042169|B86-6475153|B95-6470581|B97-6500711|B99-6047184,万候
10650,B04-6431023,桑杰士,B00-6190647|B00-6340067|B04-6431023|B88-6502411|B89-6606996|B92-6074663|B92-6596037|B93-2434274|B93-6603756|B94-6599214|B94-6667010|B94-6667012|B95-6637863|B97-6355026|B99-6493886,桑杰士
106502,NL17-1073517,罗恩.范维格父子.慕伦418公里7位,N08-1291700|N10-1856406|N11-1521612|N15-1502891|N16-1330276|N16-1331180|N17-1073517,罗恩.范维格父子.慕伦418公里7位
10651,B03-6042039,万候,B01-6041061|B03-6042039|B80-6546807|B83-6114172|B83-6576121|B85-6567117|B86-6475047|B86-6475131|B86-6475153|B92-6151690|B93-6057630|B95-6054379|B96-6086151|B97-6036008|B99-6047027,万候
106511,NL2006-1953380雄,彼得•文斯特拉原棚.,2013-08-316074|2013-08-316075|2013-08-316130|2014-08-278027|N1996-1698968|N1998-2379702|N1999-2010404|N2003-2123502|N2004-1759517|N2004-1759599|N2006-1953380,彼得•文斯特拉原棚.
106515,B10-6345250雌,奥林匹克03直子X杨直女,2881-10-296|B01-6455003|B02-6113220|B02-6114797|B03-6032888|B06-6148335|B07-6369527|B07-6399396|B10-6345250,奥林匹克03直子X杨直女
10653,B00-6098324,万候,B00-6098324|B86-6475153|B87-6360589|B88-6163003|B88-6163028|B89-6322140|B90-6324279|B93-6057634|B93-6057663|B93-6057734|B93-6057735|B94-6081627|B95-6054392|B96-6086176|B98-6084041,万候
10658,B04-6035128,万侯,B00-6098005|B04-6035128|B80-6816266|B86-6475024|B89-6089679|B89-6322089|B90-6324210|B90-6324298|B91-6183106|B93-6057627|B93-6057704|B94-6081590|B94-6081753|B96-6086384|B98-6084024,万侯
10666,B04-6035145,万候.尤特霍芬,B00-6098145|B04-6035145|B94-6081625,万候.尤特霍芬
106688,DV02065-13-201,戈马利,2011-2083011|2065-13-201|2292-07-148|B02-2214260|B02-2214264|B02-2214284|B02-2214289|B07-2055480|D02065-03-411|D02065-03-478,戈马利
106693,DV02065-13-236,戈马利,2011-2083011|2065-03-468|2065-03-479|2065-06-309|2065-08-161|2065-13-236|B02-2214269|B02-2214277|B02-2214283|B07-2055480|D02065-03-411|D02065-03-478,戈马利
106694,DV02065-13-204,戈马利,2003-2065478|2011-2083011|2065-09-472|2065-13-204|B07-2055480|D02065-03-411|D02065-03-478|D02065-03-479|D02065-04-92|D02065-06-309|N92-1112519,戈马利
106737,BELG2010-6052565,,B07-6221019|B08-6144028|BLG2010-6052565,
106742,BELG2010-6052564,乔斯.佛卡门,B07-6221019|B08-6144028|BLG2010-6052564,乔斯.佛卡门
106744,BELG2010-6052567,乔斯.佛卡门,B06-6270152|B08-6174628|BLG2010-6052567,乔斯.佛卡门
106807,BELG06-2082408,戈马利,BLG03-2191397|BLG94-2061350,戈马利
106814,NL05-2208939,詹森系,B85-6377511|B91-6680417|B93-6440339|B94-6261291|B95-6639296|N03-2324615|N05-2208939,詹森系
106815,DV01769-14-35,德拉帕,1769-08-162|1769-10-1490|1769-10-1492|1769-13-1189|D01769-14-35,德拉帕
106819,DV01769-14-786,德拉帕,D01769-04-1020|D01769-08-140|D01769-08-162|D01769-09-1004|D01769-11-232|D01769-14-786|D08871-02-1184,德拉帕
106825,DV01769-14-725,德拉帕,0512-06-480|2482-05-425|2482-06-311|2482-08-538|B09-4139352|D01769-10-1146|D01769-14-725,德拉帕
106829,DV01769-14-743,德拉帕,D00705-07-526|D01769-08-1108|D01769-08-162|D01769-08-55|D01769-13-1083|D01769-13-833|D01769-14-743,德拉帕
10685,B04-6430750,桑杰士,B00-6340067|B03-6147075|B04-6430750|B88-6502411|B89-6606996|B89-6611641|B92-6074663|B92-6596037|B93-2434274|B97-6355026|B97-6587240|B99-6491296|B99-6493868,桑杰士
106932,NL06-1597645,考夫曼,N00-5063949|N98-1933559,考夫曼
107109,BELG-5061477,,B02-3025837|B02-5245658|B04-5026032|B97-5267259,
107113,BELG-5061854,,B00-5271057|B02-3025837|B93-5010004|B93-50100190,
107114,BELG-5062151,,B00-4065900|B01-5010306|B02-3025837|B06-5150016,
107118,BELG-5031966,,B02-3025837|B07-5080297|B08-5061432|B89-3160827,
107119,BELG-5031981,,B02-3025837|B03-5071065|B89-3160827|B94-5018042|B97-5166317,
107216,BELG05-2142768,戈马利,BLG92-2198165|BLG98-6084339,戈马利
107327,DV01769-14-797,德拉帕,1769-02-638|1769-10-1755|6971-04-238|8022-04-498|8022-11-1443|D01769-14-797|N05-1936470,德拉帕
107386,CHN08-09-188667,桑杰士狼狗号,10-16-126187|10-32-545973,桑杰士狼狗号
107404,CHN10-16-126187,麦克斯X桑杰士,08-09-188667,麦克斯X桑杰士
107418,CHN10-32-545973,麦克斯X桑杰士,08-09-188667|10-16-126187|10-16-126188,麦克斯X桑杰士
107467,CHN2010-08-259000,詹森冬日男孩回血,2005-103168|2005-109144|B03-6485731|B89-6727919|B91-6227401|B92-6162747|B93-6440376|B97-6604269|B98-6589972|B99-6559748,詹森冬日男孩回血
107471,NL1999-1870691,荷兰爱亚卡普詹森,N88-5870500|N91-1839980|N91-2954618|N91-5055674|N94-1092767,荷兰爱亚卡普詹森
107572,BELG06-3118150,飞戈,B92-3138647|B95-3336674|B99-3020065|BLG05-3185087,飞戈
107576,BELG03-3131141,飞戈,B00-3124011|B00-3124013|B92-3138647|B92-3353759|B93-3010103|B95-3336674,飞戈
107584,BELG04-3204401,飞戈,B00-3070879|B02-3025837|B92-3138647|B95-3336674|B97-3221723|B99-3020060|B99-3020065|BLG97-3221723|N03-5301440|N03-5301441,飞戈
10764,NL06-1597236,考夫曼,2098-03-1030|2098-04-1530|2098-97-330|B01-3025114|B96-6287344|B98-6593456|N00-1122150|N00-1211002|N02-2373003|N04-1389374|N04-5435151|N05-1936557|N05-5533032|N05-5535809|N06-1597236|N94-2227820|N95-1719062|N95-5501251|N97-2252958|N97-2253038|N97-2253039|N97-2253103|N98-1933528|N98-1933686|N98-5821399|N98-5821416|N98-5821450|N99-1585505|N99-1585506|N99-1933559|N99-5971339|N99-5971341,考夫曼
10765,B06-6334256,路易士.凡龙,B03-6471605|B06-6334256|B91-6685038|B92-6682536|B95-6647246|B99-6185756|B99-6560463,路易士.凡龙
107770,,,2003-22-1227937|22-2004-013039|22-2004-521634|22-2006-990037|22-2006-990344|22-2008-258423|22-2008-258433|22-2011-1390816|22-2011-1390870|22-2011-1390908|22-2011-1390937,
107779,BELG05-4325754,速霸龙,B00-4066087|B00-4174021|B02-4406102|B03-4290077|B03-4290095|B04-2063085|B04-4052618|B05-2062145|B05-4325754|B06-2042579|B91-4261261|B94-4407166|B97-4173729|B97-4237808|B99-4391511|B99-4500907|BLG99-4066145,速霸龙
107786,BELG05-4274511,速霸龙,B00-4066087|B00-4174021|B02-4406102|B03-4290077|B03-4290095|B04-2063085|B04-4052618|B05-2062145|B05-4274511|B06-2042579|B91-4261261|B94-4407166|B97-4173729|B97-4237808|B99-4391511|B99-4500907|BLG99-4066145,速霸龙
108048,B07-4378473,速霸龙.原棚梦想家近亲,B01-4178925|B02-4247518|B07-4378473|B08-4061050|B94-4407032|B96-4391958|B98-4184712|B99-4393519|N08-2048793,速霸龙.原棚梦想家近亲
108058,BELG2013-6026405,乔斯.佛卡门贝克汉姆.直孙,B01-6387174|B03-6287192|B07-6221572|B09-6248063|B10-6346648|BLG2013-6026405,乔斯.佛卡门贝克汉姆.直孙
108059,NL11-1106746雌,全能配对”代表直女,B04-6177653|B98-6035753|B99-6396264|D0987-02-590|N00-1182750|N00-5065922|N01-5163045|N01-5163065|N04-1308310|N06-1572877|N11-1106746|N95-5500074|N96-1340307|N97-2225884|N99-1497535,全能配对”代表直女
108061,NL17-1875022,杨.胡曼斯.原舍.哈利”直女,N07-2007621|N13-1411487|N17-1875022,杨.胡曼斯.原舍.哈利”直女
108067,NL2010-1082810,文斯特拉.美好人生全兄弟,2013-08-316074|2013-08-316130|N1999-1585505|N2000-1122178|N2002-5255446|N2003-5340930|N2004-5435151|N2005-1909293|N2010-1082810,文斯特拉.美好人生全兄弟
108068,NL2010-1082969,文斯特拉.香奈儿5号直子,2013-08-316062|2013-08-316300|N2004-5435151|N2005-1909293|N2008-5818445|N2008-5818457|N2009-1647005|N2009-5919295|N2010-1082969,文斯特拉.香奈儿5号直子
108069,BE06-3008324雄,盖比传奇大铭鸽“闪电号”直子,B00-3195099|B06-3008324|B98-3158062,盖比传奇大铭鸽“闪电号”直子
108073,B10-6052077,乔斯.佛卡门.巴可X凯蒂”孙女,B09-6248087|B09-6248367|B10-6052077,乔斯.佛卡门.巴可X凯蒂”孙女
108074,B2010-4323332,速霸龙.鹰眼少侠,B1997-3188472|B2002-2095198|B2002-3003084|B2002-4333348|B2004-2063240|B2007-3008780|B2010-4323332,速霸龙.鹰眼少侠
108075,B12-3168568雄,梦追山568号,B12-3012796|B12-3168568,梦追山568号
108076,B15-6284574雄,罗尼-凡瑞特桑杰士,B07-6356012|B15-6284574|B1989-6611641|B1992-6596037|B1994-6667010|B1997-6355026|B1998-6466725|B2000-6340003|B2000-6340067|B2001-6524744|B2002-6243417|B2002-6243461|B2003-6097245|B2003-6147008|B2003-6147298|B2004-6430812|B2004-6430813|B2004-6430904|B2005-6155345|B2005-6225881|B2005-6444319|B2005-6444367|B2005-6444400|B2006-6173403|B2006-6329133|B2006-6329250|B2006-6329251|B2007-6155353|B2007-6356145|B2009-6086626|B2009-6086693|B2012-6035504,罗尼-凡瑞特桑杰士
108078,B07-6403719雌,佛卡门.贝克汉姆.外孙女,B07-6403719|B2001-6387174|B2001-6387351|B2002-00825499|B2003-6287006|B2003-6287053|B2005-6234009,佛卡门.贝克汉姆.外孙女
108084,B11－4244608,,2013-08-316043|2014-08-278223|B93-4305324|B98-4276380,
108092,BEL07-6399031,,B83-6466069|B84-6161077|B85-6377509|B86-6320969|B90-6306731|B91-6680418|B98-6589970|BL07-6399031|BL92-6162746|BL95-6274320,
108105,NL2016-1128633雌,沙奇士原舍鲁道.克拉森.小白12号直孙女,N03-1272712|N08-1660055|N2016-1128633,沙奇士原舍鲁道.克拉森.小白12号直孙女
108144,B2004-6293186,,B02-6428464|B95-6274320,
108218,NL2011-1737011,佛科克,2007-2008-2009|N2000-1975952|N2000-5063949|N2004-2050252|N2004-5430805|N2006-4720774|N2007-1817846|N2011-1737012|N2014-1094404,佛科克
108260,BELG2013-4050274,速霸龙,B05-4045392|B08-2197596|B10-5020450|B91-4261261|B94-4407032|B95-4192444,速霸龙
108261,BELG2013-4050340,速霸龙,B03-6415299|B05-4045252|B07-4093400|B08-4061050|B08-4095379|B09-5110489|B13-4050340|B94-4407032|N08-2048793,速霸龙
108265,NL16-1019661雌,沙奇士原舍小白59号克拉克69,N02-0271851|N03-0338900|N05-1387611|N05-1387621|N05-1387631|N07-1813423|N16-1019661,沙奇士原舍小白59号克拉克69
108266,NL15-1082876雌,超级克拉克天才X小白12号直女,N05-1387686|N08-1660055|N09-1181388|N10-1678380|N11-1733420|N15-1082876,超级克拉克天才X小白12号直女
